#FILE:                       ,A8%D28; 16-1-2025.ngb-ds3          
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,16/01/2025 7:55:55 AM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,A8%D28;16-1-2025                   
#SAMPLE MASS /mg:            ,57                                 
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.50700, 15.06000, 4.8617e-002,98.06658,50.00000,0.0000e+000,20.00000,    -0.11944,1.22624
 40.51800, 15.06500, 4.8705e-002,98.06598,50.00000,0.0000e+000,20.00000,    -0.11943,1.22623
 40.51600, 15.07000, 4.8596e-002,98.06533,50.00000,0.0000e+000,20.00000,    -0.11931,1.22623
 40.52400, 15.07500, 4.8651e-002,98.06465,50.00000,0.0000e+000,20.00000,    -0.11915,1.22622
 40.53100, 15.08000, 4.8597e-002,98.06400,50.00000,0.0000e+000,20.00000,    -0.11903,1.22621
 40.51600, 15.08500, 4.8683e-002,98.06338,50.00000,0.0000e+000,20.00000,    -0.11896,1.22623
 40.52200, 15.09000, 4.8716e-002,98.06273,50.00000,0.0000e+000,20.00000,    -0.11890,1.22622
 40.51900, 15.09500, 4.8618e-002,98.06211,50.00000,0.0000e+000,20.00000,    -0.11886,1.22623
 40.51600, 15.10000, 4.8618e-002,98.06150,50.00000,0.0000e+000,20.00000,    -0.11886,1.22623
 40.52600, 15.10500, 4.8651e-002,98.06086,50.00000,0.0000e+000,20.00000,    -0.11894,1.22622
 40.52600, 15.11000, 4.8727e-002,98.06025,50.00000,0.0000e+000,20.00000,    -0.11917,1.22622
 40.52800, 15.11500, 4.8564e-002,98.05965,50.00000,0.0000e+000,20.00000,    -0.11954,1.22621
 40.53600, 15.12000, 4.8728e-002,98.05906,50.00000,0.0000e+000,20.00000,    -0.11989,1.22620
 40.52000, 15.12500, 4.8520e-002,98.05849,50.00000,0.0000e+000,20.00000,    -0.12011,1.22623
 40.51800, 15.13000, 4.8585e-002,98.05789,50.00000,0.0000e+000,20.00000,    -0.12024,1.22623
 40.53200, 15.13500, 4.8575e-002,98.05728,50.00000,0.0000e+000,20.00000,    -0.12030,1.22621
 40.53800, 15.14000, 4.8728e-002,98.05670,50.00000,0.0000e+000,20.00000,    -0.12034,1.22620
 40.51800, 15.14500, 4.8781e-002,98.05617,50.00000,0.0000e+000,20.00000,    -0.12043,1.22623
 40.53200, 15.15000, 4.8695e-002,98.05556,50.00000,0.0000e+000,20.00000,    -0.12058,1.22621
 40.52600, 15.15500, 4.8629e-002,98.05495,50.00000,0.0000e+000,20.00000,    -0.12071,1.22622
 40.52500, 15.16000, 4.8640e-002,98.05436,50.00000,0.0000e+000,20.00000,    -0.12081,1.22622
 40.52100, 15.16500, 4.8596e-002,98.05377,50.00000,0.0000e+000,20.00000,    -0.12090,1.22622
 40.51600, 15.17000, 4.8541e-002,98.05320,50.00000,0.0000e+000,20.00000,    -0.12100,1.22623
 40.53800, 15.17500, 4.8575e-002,98.05261,50.00000,0.0000e+000,20.00000,    -0.12109,1.22620
 40.51400, 15.18000, 4.8738e-002,98.05200,50.00000,0.0000e+000,20.00000,    -0.12117,1.22623
