#FILE:                       ,B30S70DC1; 14-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,Geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,17/01/2025 12:35:54 PM             
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,B30S70DC1;17-1-2025                
#SAMPLE MASS /mg:            ,34.6                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.62200, 15.00750, 4.1436e-002,97.93390,50.00000,0.0000e+000,20.00000,-7.9265e-003,1.22608
 40.63200, 15.01250, 4.1634e-002,97.93379,50.00000,0.0000e+000,20.00000,-2.7946e-002,1.22607
 40.63200, 15.01750, 4.1508e-002,97.93349,50.00000,0.0000e+000,20.00000,-4.5482e-002,1.22607
 40.63600, 15.02250, 4.1634e-002,97.93314,50.00000,0.0000e+000,20.00000,-5.7517e-002,1.22607
 40.63600, 15.02750, 4.1472e-002,97.93275,50.00000,0.0000e+000,20.00000,-6.6221e-002,1.22607
 40.62200, 15.03250, 4.1652e-002,97.93233,50.00000,0.0000e+000,20.00000,-7.2594e-002,1.22608
 40.62500, 15.03750, 4.1382e-002,97.93188,50.00000,0.0000e+000,20.00000,-7.7263e-002,1.22608
 40.64300, 15.04250, 4.1635e-002,97.93140,50.00000,0.0000e+000,20.00000,-8.0731e-002,1.22606
 40.64900, 15.04750, 4.1419e-002,97.93091,50.00000,0.0000e+000,20.00000,-8.3367e-002,1.22605
 40.65800, 15.05250, 4.1384e-002,97.93040,50.00000,0.0000e+000,20.00000,-8.5407e-002,1.22603
 40.66100, 15.05750, 4.1618e-002,97.92988,50.00000,0.0000e+000,20.00000,-8.7007e-002,1.22603
 40.64300, 15.06250, 4.1545e-002,97.92936,50.00000,0.0000e+000,20.00000,-8.8280e-002,1.22606
 40.64300, 15.06750, 4.1707e-002,97.92885,50.00000,0.0000e+000,20.00000,-8.9303e-002,1.22606
 40.65100, 15.07250, 4.1689e-002,97.92833,50.00000,0.0000e+000,20.00000,-9.0134e-002,1.22604
 40.64600, 15.07750, 4.1473e-002,97.92782,50.00000,0.0000e+000,20.00000,-9.0814e-002,1.22605
 40.65000, 15.08250, 4.1437e-002,97.92730,50.00000,0.0000e+000,20.00000,-9.1376e-002,1.22605
 40.64500, 15.08750, 4.1599e-002,97.92678,50.00000,0.0000e+000,20.00000,-9.1841e-002,1.22605
 40.65000, 15.09250, 4.1491e-002,97.92627,50.00000,0.0000e+000,20.00000,-9.2229e-002,1.22605
 40.64200, 15.09750, 4.1671e-002,97.92575,50.00000,0.0000e+000,20.00000,-9.2552e-002,1.22606
 40.64200, 15.10250, 4.1401e-002,97.92524,50.00000,0.0000e+000,20.00000,-9.2820e-002,1.22606
