#FILE:                       ,B30S70DC14; 30-1-2025.ngb-ds3      
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,30/01/2025 1:23:42 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Farnaz                             
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,B30S70DC14                         
#SAMPLE MASS /mg:            ,30.2                               
#MATERIAL:                   ,Chemical compound                  
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.50700, 15.03167, 3.1356e-002,97.27641,50.00000,0.0000e+000,20.00000,-1.1474e-002,1.22624
 40.54200, 15.03667, 3.1110e-002,97.27616,50.00000,0.0000e+000,20.00000,-1.7804e-002,1.22619
 40.52300, 15.04167, 3.1254e-002,97.27590,50.00000,0.0000e+000,20.00000,-2.2593e-002,1.22622
 40.52600, 15.04667, 3.1068e-002,97.27562,50.00000,0.0000e+000,20.00000,-2.6325e-002,1.22622
 40.51800, 15.05167, 3.1109e-002,97.27532,50.00000,0.0000e+000,20.00000,-2.9302e-002,1.22623
 40.53100, 15.05667, 3.1110e-002,97.27502,50.00000,0.0000e+000,20.00000,-3.1724e-002,1.22621
 40.52500, 15.06167, 3.1151e-002,97.27472,50.00000,0.0000e+000,20.00000,-3.3731e-002,1.22622
 40.51500, 15.06667, 3.1233e-002,97.27443,50.00000,0.0000e+000,20.00000,-3.5423e-002,1.22623
 40.53200, 15.07167, 3.1068e-002,97.27413,50.00000,0.0000e+000,20.00000,-3.6872e-002,1.22621
 40.51700, 15.07667, 3.0965e-002,97.27384,50.00000,0.0000e+000,20.00000,-3.8133e-002,1.22623
 40.52100, 15.08167, 3.1068e-002,97.27355,50.00000,0.0000e+000,20.00000,-3.9244e-002,1.22622
 40.52400, 15.08667, 3.1068e-002,97.27326,50.00000,0.0000e+000,20.00000,-4.0234e-002,1.22622
 40.51700, 15.09167, 3.1130e-002,97.27296,50.00000,0.0000e+000,20.00000,-4.1126e-002,1.22623
