#FILE:                       ,CEM_III_DC1; 17-1-2025.ngb-ds3     
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,CEMIII                             
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,18/01/2025 1:58:24 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,CEMIIIDC1;18-1-2025                
#SAMPLE MASS /mg:            ,32.2                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 45.85000, 18.07167,-3.6934e-003,90.71753,50.00000,0.0000e+000,20.00000,    -0.24031,1.21888
 45.85700, 18.07667,-3.7323e-003,90.71636,50.00000,0.0000e+000,20.00000,    -0.23989,1.21887
 45.86400, 18.08167,-3.9073e-003,90.71520,50.00000,0.0000e+000,20.00000,    -0.23948,1.21886
 45.87000, 18.08667,-3.9851e-003,90.71404,50.00000,0.0000e+000,20.00000,    -0.23907,1.21885
 45.85700, 18.09167,-4.1794e-003,90.71289,50.00000,0.0000e+000,20.00000,    -0.23865,1.21887
 45.85600, 18.09667,-4.2961e-003,90.71174,50.00000,0.0000e+000,20.00000,    -0.23824,1.21887
 45.85700, 18.10167,-4.3933e-003,90.71060,50.00000,0.0000e+000,20.00000,    -0.23782,1.21887
 45.86900, 18.10667,-4.4711e-003,90.70947,50.00000,0.0000e+000,20.00000,    -0.23741,1.21885
 45.88400, 18.11167,-4.4906e-003,90.70834,50.00000,0.0000e+000,20.00000,    -0.23699,1.21883
 45.86600, 18.11667,-4.4905e-003,90.70721,50.00000,0.0000e+000,20.00000,    -0.23658,1.21886
 45.86800, 18.12167,-4.5683e-003,90.70609,50.00000,0.0000e+000,20.00000,    -0.23617,1.21885
 45.88000, 18.12667,-4.5100e-003,90.70498,50.00000,0.0000e+000,20.00000,    -0.23575,1.21884
 45.87700, 18.13167,-4.3934e-003,90.70387,50.00000,0.0000e+000,20.00000,    -0.23534,1.21884
 45.88800, 18.13667,-4.5100e-003,90.70277,50.00000,0.0000e+000,20.00000,    -0.23492,1.21883
 45.87500, 18.14167,-4.6072e-003,90.70167,50.00000,0.0000e+000,20.00000,    -0.23451,1.21884
 45.87300, 18.14667,-4.6072e-003,90.70058,50.00000,0.0000e+000,20.00000,    -0.23410,1.21885
 45.86800, 18.15167,-4.8015e-003,90.69949,50.00000,0.0000e+000,20.00000,    -0.23368,1.21885
 45.85500, 18.15667,-4.9181e-003,90.69841,50.00000,0.0000e+000,20.00000,    -0.23327,1.21887
 45.88000, 18.16167,-4.9571e-003,90.69733,50.00000,0.0000e+000,20.00000,    -0.23286,1.21884
 45.87400, 18.16667,-5.1126e-003,90.69626,50.00000,0.0000e+000,20.00000,    -0.23244,1.21884
 45.86400, 18.17167,-5.2681e-003,90.69519,50.00000,0.0000e+000,20.00000,    -0.23203,1.21886
 45.86100, 18.17667,-5.3264e-003,90.69413,50.00000,0.0000e+000,20.00000,    -0.23162,1.21886
 45.87100, 18.18167,-5.3847e-003,90.69308,50.00000,0.0000e+000,20.00000,    -0.23121,1.21885
 45.88000, 18.18667,-5.3459e-003,90.69203,50.00000,0.0000e+000,20.00000,    -0.23080,1.21884
 45.86200, 18.19167,-5.4624e-003,90.69098,50.00000,0.0000e+000,20.00000,    -0.23039,1.21886
 45.87400, 18.19667,-5.5986e-003,90.68994,50.00000,0.0000e+000,20.00000,    -0.22998,1.21884
 45.87500, 18.20167,-5.6180e-003,90.68891,50.00000,0.0000e+000,20.00000,    -0.22957,1.21884
 45.87500, 18.20667,-5.6375e-003,90.68788,50.00000,0.0000e+000,20.00000,    -0.22917,1.21884
 45.86000, 18.21167,-5.5985e-003,90.68686,50.00000,0.0000e+000,20.00000,    -0.22876,1.21886
 45.87700, 18.21667,-5.6375e-003,90.68584,50.00000,0.0000e+000,20.00000,    -0.22835,1.21884
 45.87800, 18.22167,-5.8319e-003,90.68483,50.00000,0.0000e+000,20.00000,    -0.22795,1.21884
 45.87400, 18.22667,-5.8124e-003,90.68382,50.00000,0.0000e+000,20.00000,    -0.22754,1.21884
 45.86700, 18.23167,-5.8707e-003,90.68282,50.00000,0.0000e+000,20.00000,    -0.22714,1.21885
 45.88400, 18.23667,-5.8514e-003,90.68182,50.00000,0.0000e+000,20.00000,    -0.22673,1.21883
 45.89300, 18.24167,-5.9681e-003,90.68083,50.00000,0.0000e+000,20.00000,    -0.22633,1.21882
 45.88700, 18.24667,-6.1430e-003,90.67985,50.00000,0.0000e+000,20.00000,    -0.22593,1.21883
 45.88600, 18.25167,-6.1235e-003,90.67887,50.00000,0.0000e+000,20.00000,    -0.22553,1.21883
 45.89600, 18.25667,-6.2208e-003,90.67790,50.00000,0.0000e+000,20.00000,    -0.22512,1.21881
 45.89400, 18.26167,-6.3180e-003,90.67693,50.00000,0.0000e+000,20.00000,    -0.22472,1.21882
 45.87300, 18.26667,-6.3956e-003,90.67597,50.00000,0.0000e+000,20.00000,    -0.22432,1.21885
 45.89400, 18.27167,-6.4735e-003,90.67501,50.00000,0.0000e+000,20.00000,    -0.22392,1.21882
 45.88600, 18.27667,-6.3957e-003,90.67405,50.00000,0.0000e+000,20.00000,    -0.22353,1.21883
 45.89400, 18.28167,-6.3374e-003,90.67311,50.00000,0.0000e+000,20.00000,    -0.22313,1.21882
 45.88300, 18.28667,-6.3762e-003,90.67216,50.00000,0.0000e+000,20.00000,    -0.22273,1.21883
 45.89800, 18.29167,-6.5707e-003,90.67123,50.00000,0.0000e+000,20.00000,    -0.22233,1.21881
 45.89100, 18.29667,-6.7457e-003,90.67029,50.00000,0.0000e+000,20.00000,    -0.22194,1.21882
 45.89700, 18.30167,-6.7457e-003,90.66937,50.00000,0.0000e+000,20.00000,    -0.22154,1.21881
 45.90100, 18.30667,-6.8235e-003,90.66844,50.00000,0.0000e+000,20.00000,    -0.22115,1.21881
 45.91700, 18.31167,-6.8625e-003,90.66753,50.00000,0.0000e+000,20.00000,    -0.22075,1.21879
 45.91100, 18.31667,-6.8236e-003,90.66661,50.00000,0.0000e+000,20.00000,    -0.22036,1.21879
 45.91000, 18.32167,-6.7847e-003,90.66570,50.00000,0.0000e+000,20.00000,    -0.21996,1.21879
 45.90400, 18.32667,-6.8624e-003,90.66480,50.00000,0.0000e+000,20.00000,    -0.21957,1.21880
 45.91200, 18.33167,-6.9208e-003,90.66389,50.00000,0.0000e+000,20.00000,    -0.21917,1.21879
 45.91100, 18.33667,-6.9208e-003,90.66300,50.00000,0.0000e+000,20.00000,    -0.21878,1.21879
 45.91800, 18.34167,-6.9791e-003,90.66210,50.00000,0.0000e+000,20.00000,    -0.21839,1.21878
 45.91400, 18.34667,-6.9986e-003,90.66121,50.00000,0.0000e+000,20.00000,    -0.21799,1.21879
 45.91200, 18.35167,-7.1152e-003,90.66032,50.00000,0.0000e+000,20.00000,    -0.21760,1.21879
 45.93100, 18.35667,-7.0376e-003,90.65944,50.00000,0.0000e+000,20.00000,    -0.21721,1.21877
 45.93400, 18.36167,-7.0376e-003,90.65856,50.00000,0.0000e+000,20.00000,    -0.21682,1.21876
 45.93100, 18.36667,-7.1737e-003,90.65768,50.00000,0.0000e+000,20.00000,    -0.21642,1.21877
 45.94400, 18.37167,-7.1349e-003,90.65680,50.00000,0.0000e+000,20.00000,    -0.21603,1.21875
 45.94200, 18.37667,-7.2126e-003,90.65593,50.00000,0.0000e+000,20.00000,    -0.21564,1.21875
 45.94100, 18.38167,-7.1737e-003,90.65506,50.00000,0.0000e+000,20.00000,    -0.21525,1.21875
 45.93100, 18.38667,-7.2514e-003,90.65419,50.00000,0.0000e+000,20.00000,    -0.21486,1.21877
 45.94800, 18.39167,-7.4265e-003,90.65332,50.00000,0.0000e+000,20.00000,    -0.21446,1.21874
 45.94000, 18.39667,-7.3876e-003,90.65246,50.00000,0.0000e+000,20.00000,    -0.21407,1.21875
 45.93500, 18.40167,-7.4070e-003,90.65159,50.00000,0.0000e+000,20.00000,    -0.21368,1.21876
 45.95200, 18.40667,-7.4654e-003,90.65073,50.00000,0.0000e+000,20.00000,    -0.21329,1.21874
 45.94900, 18.41167,-7.6015e-003,90.64987,50.00000,0.0000e+000,20.00000,    -0.21290,1.21874
 45.95900, 18.41667,-7.6016e-003,90.64901,50.00000,0.0000e+000,20.00000,    -0.21250,1.21873
 45.98100, 18.42167,-7.7379e-003,90.64815,50.00000,0.0000e+000,20.00000,    -0.21211,1.21870
 45.97400, 18.42667,-7.7767e-003,90.64729,50.00000,0.0000e+000,20.00000,    -0.21172,1.21871
 45.96400, 18.43167,-7.7766e-003,90.64644,50.00000,0.0000e+000,20.00000,    -0.21133,1.21872
 45.96800, 18.43667,-7.6989e-003,90.64558,50.00000,0.0000e+000,20.00000,    -0.21093,1.21872
 45.98800, 18.44167,-7.7185e-003,90.64472,50.00000,0.0000e+000,20.00000,    -0.21054,1.21869
 45.96500, 18.44667,-7.6600e-003,90.64387,50.00000,0.0000e+000,20.00000,    -0.21015,1.21872
 45.96900, 18.45167,-7.6600e-003,90.64301,50.00000,0.0000e+000,20.00000,    -0.20976,1.21871
 45.99600, 18.45667,-7.8352e-003,90.64216,50.00000,0.0000e+000,20.00000,    -0.20936,1.21868
 45.99900, 18.46167,-7.8352e-003,90.64130,50.00000,0.0000e+000,20.00000,    -0.20897,1.21867
 45.99100, 18.46667,-7.8546e-003,90.64045,50.00000,0.0000e+000,20.00000,    -0.20858,1.21868
 45.98600, 18.47167,-7.8935e-003,90.63959,50.00000,0.0000e+000,20.00000,    -0.20819,1.21869
 45.99900, 18.47667,-7.7380e-003,90.63874,50.00000,0.0000e+000,20.00000,    -0.20779,1.21867
 45.99800, 18.48167,-7.6603e-003,90.63788,50.00000,0.0000e+000,20.00000,    -0.20740,1.21867
 46.00100, 18.48667,-7.7575e-003,90.63703,50.00000,0.0000e+000,20.00000,    -0.20701,1.21867
 46.00300, 18.49167,-7.7186e-003,90.63617,50.00000,0.0000e+000,20.00000,    -0.20661,1.21867
