#FILE:                       ,CEM_I_DC14; 30-1-2025.ngb-ds3      
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,OPC PASTE                          
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,1/02/2025 12:18:42 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,CEM_I_DC14                         
#SAMPLE MASS /mg:            ,46.8                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.39900, 15.01917, 3.0999e-002,98.11917,50.00000,0.0000e+000,20.00000,    -0.10995,1.22639
 40.41700, 15.02417, 3.1013e-002,98.11866,50.00000,0.0000e+000,20.00000,    -0.10428,1.22637
 40.42100, 15.02917, 3.0906e-002,98.11817,50.00000,0.0000e+000,20.00000,-9.9989e-002,1.22636
 40.41600, 15.03417, 3.0999e-002,98.11772,50.00000,0.0000e+000,20.00000,-9.6718e-002,1.22637
 40.41300, 15.03917, 3.0959e-002,98.11730,50.00000,0.0000e+000,20.00000,-9.4132e-002,1.22637
 40.40800, 15.04417, 3.0893e-002,98.11690,50.00000,0.0000e+000,20.00000,-9.2016e-002,1.22638
 40.40900, 15.04917, 3.0919e-002,98.11649,50.00000,0.0000e+000,20.00000,-9.0242e-002,1.22638
 40.40700, 15.05417, 3.0999e-002,98.11609,50.00000,0.0000e+000,20.00000,-8.8727e-002,1.22638
 40.41100, 15.05917, 3.0986e-002,98.11569,50.00000,0.0000e+000,20.00000,-8.7413e-002,1.22638
 40.42300, 15.06417, 3.0960e-002,98.11530,50.00000,0.0000e+000,20.00000,-8.6259e-002,1.22636
 40.42900, 15.06917, 3.0933e-002,98.11491,50.00000,0.0000e+000,20.00000,-8.5234e-002,1.22635
 40.41300, 15.07417, 3.0880e-002,98.11452,50.00000,0.0000e+000,20.00000,-8.4315e-002,1.22637
 40.43300, 15.07917, 3.0867e-002,98.11414,50.00000,0.0000e+000,20.00000,-8.3485e-002,1.22635
 40.41700, 15.08417, 3.0959e-002,98.11376,50.00000,0.0000e+000,20.00000,-8.2732e-002,1.22637
 40.42600, 15.08917, 3.0747e-002,98.11338,50.00000,0.0000e+000,20.00000,-8.2045e-002,1.22635
 40.42100, 15.09417, 3.0906e-002,98.11301,50.00000,0.0000e+000,20.00000,-8.1414e-002,1.22636
 40.42600, 15.09917, 3.0880e-002,98.11263,50.00000,0.0000e+000,20.00000,-8.0833e-002,1.22635
 40.43300, 15.10417, 3.0867e-002,98.11226,50.00000,0.0000e+000,20.00000,-8.0293e-002,1.22635
 40.42100, 15.10917, 3.0973e-002,98.11189,50.00000,0.0000e+000,20.00000,-7.9792e-002,1.22636
 40.44200, 15.11417, 3.0854e-002,98.11153,50.00000,0.0000e+000,20.00000,-7.9323e-002,1.22633
 40.43200, 15.11917, 3.0854e-002,98.11116,50.00000,0.0000e+000,20.00000,-7.8885e-002,1.22635
 40.43300, 15.12417, 3.0907e-002,98.11079,50.00000,0.0000e+000,20.00000,-7.8475e-002,1.22635
 40.42300, 15.12917, 3.0960e-002,98.11043,50.00000,0.0000e+000,20.00000,-7.8091e-002,1.22636
 40.44200, 15.13417, 3.0934e-002,98.11007,50.00000,0.0000e+000,20.00000,-7.7730e-002,1.22633
 40.42100, 15.13917, 3.0813e-002,98.10971,50.00000,0.0000e+000,20.00000,-7.7390e-002,1.22636
 40.43100, 15.14417, 3.0827e-002,98.10935,50.00000,0.0000e+000,20.00000,-7.7071e-002,1.22635
 40.43700, 15.14917, 3.0854e-002,98.10899,50.00000,0.0000e+000,20.00000,-7.6770e-002,1.22634
 40.43100, 15.15417, 3.0854e-002,98.10863,50.00000,0.0000e+000,20.00000,-7.6487e-002,1.22635
 40.42000, 15.15917, 3.0707e-002,98.10828,50.00000,0.0000e+000,20.00000,-7.6221e-002,1.22636
 40.44600, 15.16417, 3.0761e-002,98.10792,50.00000,0.0000e+000,20.00000,-7.5970e-002,1.22633
 40.43200, 15.16917, 3.0854e-002,98.10757,50.00000,0.0000e+000,20.00000,-7.5734e-002,1.22635
 40.43700, 15.17417, 3.1000e-002,98.10721,50.00000,0.0000e+000,20.00000,-7.5510e-002,1.22634
 40.43700, 15.17917, 3.0880e-002,98.10686,50.00000,0.0000e+000,20.00000,-7.5299e-002,1.22634
 40.44300, 15.18417, 3.0748e-002,98.10651,50.00000,0.0000e+000,20.00000,-7.5098e-002,1.22633
 40.43900, 15.18917, 3.0907e-002,98.10616,50.00000,0.0000e+000,20.00000,-7.4907e-002,1.22634
 40.43500, 15.19417, 3.0880e-002,98.10581,50.00000,0.0000e+000,20.00000,-7.4725e-002,1.22634
 40.43700, 15.19917, 3.0814e-002,98.10546,50.00000,0.0000e+000,20.00000,-7.4550e-002,1.22634
 40.44600, 15.20417, 3.0867e-002,98.10511,50.00000,0.0000e+000,20.00000,-7.4383e-002,1.22633
 40.44800, 15.20917, 3.0907e-002,98.10476,50.00000,0.0000e+000,20.00000,-7.4222e-002,1.22632
 40.44800, 15.21417, 3.0974e-002,98.10441,50.00000,0.0000e+000,20.00000,-7.4067e-002,1.22632
 40.44100, 15.21917, 3.0694e-002,98.10407,50.00000,0.0000e+000,20.00000,-7.3918e-002,1.22633
 40.44900, 15.22417, 3.0907e-002,98.10372,50.00000,0.0000e+000,20.00000,-7.3774e-002,1.22632
 40.44200, 15.22917, 3.0694e-002,98.10338,50.00000,0.0000e+000,20.00000,-7.3635e-002,1.22633
 40.44300, 15.23417, 3.0894e-002,98.10303,50.00000,0.0000e+000,20.00000,-7.3502e-002,1.22633
 40.43600, 15.23917, 3.0840e-002,98.10269,50.00000,0.0000e+000,20.00000,-7.3375e-002,1.22634
 40.43900, 15.24417, 3.0947e-002,98.10234,50.00000,0.0000e+000,20.00000,-7.3254e-002,1.22634
 40.42300, 15.24917, 3.0946e-002,98.10200,50.00000,0.0000e+000,20.00000,-7.3139e-002,1.22636
 40.42700, 15.25417, 3.0774e-002,98.10165,50.00000,0.0000e+000,20.00000,-7.3031e-002,1.22635
 40.43900, 15.25917, 3.0761e-002,98.10131,50.00000,0.0000e+000,20.00000,-7.2930e-002,1.22634
 40.42900, 15.26417, 3.0814e-002,98.10097,50.00000,0.0000e+000,20.00000,-7.2838e-002,1.22635
