#FILE:                       ,CEM_I_DC1; 17-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,CEM I                              
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,18/01/2025 4:55:01 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,CEMIDC1;18-1-2025                  
#SAMPLE MASS /mg:            ,43.4                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 39.56600, 15.03000, 3.8093e-002,98.17086,50.00000,0.0000e+000,20.00000,-4.0503e-002,1.22754
 39.57800, 15.03500, 3.8222e-002,98.17046,50.00000,0.0000e+000,20.00000,-4.8296e-002,1.22752
 39.57000, 15.04000, 3.8151e-002,98.17006,50.00000,0.0000e+000,20.00000,-5.3748e-002,1.22754
 39.56900, 15.04500, 3.8150e-002,98.16964,50.00000,0.0000e+000,20.00000,-5.7776e-002,1.22754
 39.57000, 15.05000, 3.7993e-002,98.16923,50.00000,0.0000e+000,20.00000,-6.0876e-002,1.22754
 39.56900, 15.05500, 3.8179e-002,98.16881,50.00000,0.0000e+000,20.00000,-6.3337e-002,1.22754
 39.57600, 15.06000, 3.8194e-002,98.16839,50.00000,0.0000e+000,20.00000,-6.5339e-002,1.22753
 39.58200, 15.06500, 3.7979e-002,98.16797,50.00000,0.0000e+000,20.00000,-6.7007e-002,1.22752
 39.57000, 15.07000, 3.8136e-002,98.16756,50.00000,0.0000e+000,20.00000,-6.8421e-002,1.22754
 39.57500, 15.07500, 3.8108e-002,98.16714,50.00000,0.0000e+000,20.00000,-6.9641e-002,1.22753
 39.58500, 15.08000, 3.8065e-002,98.16672,50.00000,0.0000e+000,20.00000,-7.0706e-002,1.22751
 39.57800, 15.08500, 3.8036e-002,98.16630,50.00000,0.0000e+000,20.00000,-7.1649e-002,1.22752
 39.59200, 15.09000, 3.8151e-002,98.16588,50.00000,0.0000e+000,20.00000,-7.2493e-002,1.22750
 39.58500, 15.09500, 3.8237e-002,98.16545,50.00000,0.0000e+000,20.00000,-7.3255e-002,1.22751
