#FILE:                       ,CEM_I_DC7; 23-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,24/01/2025 1:49:47 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC9%DC7                           
#SAMPLE MASS /mg:            ,34.4                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.82000, 15.52333, 2.4986e-002,98.17250,50.00000,0.0000e+000,20.00000,-9.0234e-002,1.22581
 40.84000, 15.52833, 2.4951e-002,98.17197,50.00000,0.0000e+000,20.00000,-8.9835e-002,1.22578
 40.83500, 15.53333, 2.4715e-002,98.17144,50.00000,0.0000e+000,20.00000,-8.9449e-002,1.22579
 40.83500, 15.53833, 2.4571e-002,98.17090,50.00000,0.0000e+000,20.00000,-8.9079e-002,1.22579
 40.83800, 15.54333, 2.4480e-002,98.17037,50.00000,0.0000e+000,20.00000,-8.8730e-002,1.22579
 40.83500, 15.54833, 2.4498e-002,98.16984,50.00000,0.0000e+000,20.00000,-8.8404e-002,1.22579
 40.84000, 15.55333, 2.4715e-002,98.16931,50.00000,0.0000e+000,20.00000,-8.8105e-002,1.22578
 40.85300, 15.55833, 2.4662e-002,98.16877,50.00000,0.0000e+000,20.00000,-8.7833e-002,1.22577
 40.83200, 15.56333, 2.4733e-002,98.16824,50.00000,0.0000e+000,20.00000,-8.7593e-002,1.22580
 40.84100, 15.56833, 2.4643e-002,98.16771,50.00000,0.0000e+000,20.00000,-8.7384e-002,1.22578
 40.84000, 15.57333, 2.4679e-002,98.16717,50.00000,0.0000e+000,20.00000,-8.7210e-002,1.22578
 40.83800, 15.57833, 2.4589e-002,98.16664,50.00000,0.0000e+000,20.00000,-8.7069e-002,1.22579
 40.84300, 15.58333, 2.4589e-002,98.16611,50.00000,0.0000e+000,20.00000,-8.6962e-002,1.22578
 40.85000, 15.58833, 2.4661e-002,98.16558,50.00000,0.0000e+000,20.00000,-8.6889e-002,1.22577
 40.84600, 15.59333, 2.4698e-002,98.16505,50.00000,0.0000e+000,20.00000,-8.6850e-002,1.22578
 40.83100, 15.59833, 2.4697e-002,98.16452,50.00000,0.0000e+000,20.00000,-8.6843e-002,1.22580
 40.85900, 15.60333, 2.4517e-002,98.16399,50.00000,0.0000e+000,20.00000,-8.6867e-002,1.22576
 40.85300, 15.60833, 2.4535e-002,98.16346,50.00000,0.0000e+000,20.00000,-8.6920e-002,1.22577
 40.85400, 15.61333, 2.4734e-002,98.16293,50.00000,0.0000e+000,20.00000,-8.7000e-002,1.22576
 40.86200, 15.61833, 2.4770e-002,98.16241,50.00000,0.0000e+000,20.00000,-8.7105e-002,1.22575
 40.86200, 15.62333, 2.4589e-002,98.16188,50.00000,0.0000e+000,20.00000,-8.7231e-002,1.22575
 40.87900, 15.62833, 2.4572e-002,98.16136,50.00000,0.0000e+000,20.00000,-8.7378e-002,1.22573
 40.87000, 15.63333, 2.4481e-002,98.16083,50.00000,0.0000e+000,20.00000,-8.7541e-002,1.22574
 40.86600, 15.63833, 2.4590e-002,98.16031,50.00000,0.0000e+000,20.00000,-8.7719e-002,1.22575
 40.86400, 15.64333, 2.4409e-002,98.15979,50.00000,0.0000e+000,20.00000,-8.7908e-002,1.22575
 40.86400, 15.64833, 2.4608e-002,98.15927,50.00000,0.0000e+000,20.00000,-8.8107e-002,1.22575
 40.86900, 15.65333, 2.4608e-002,98.15875,50.00000,0.0000e+000,20.00000,-8.8311e-002,1.22574
 40.85900, 15.65833, 2.4571e-002,98.15823,50.00000,0.0000e+000,20.00000,-8.8520e-002,1.22576
 40.86700, 15.66333, 2.4571e-002,98.15772,50.00000,0.0000e+000,20.00000,-8.8731e-002,1.22575
 40.87000, 15.66833, 2.4427e-002,98.15720,50.00000,0.0000e+000,20.00000,-8.8941e-002,1.22574
 40.87000, 15.67333, 2.4662e-002,98.15669,50.00000,0.0000e+000,20.00000,-8.9148e-002,1.22574
 40.87300, 15.67833, 2.4499e-002,98.15618,50.00000,0.0000e+000,20.00000,-8.9351e-002,1.22574
 40.87800, 15.68333, 2.4499e-002,98.15567,50.00000,0.0000e+000,20.00000,-8.9549e-002,1.22573
 40.88100, 15.68833, 2.4174e-002,98.15516,50.00000,0.0000e+000,20.00000,-8.9739e-002,1.22573
 40.87200, 15.69333, 2.4282e-002,98.15465,50.00000,0.0000e+000,20.00000,-8.9921e-002,1.22574
 40.87600, 15.69833, 2.4336e-002,98.15414,50.00000,0.0000e+000,20.00000,-9.0094e-002,1.22573
 40.88000, 15.70333, 2.4427e-002,98.15364,50.00000,0.0000e+000,20.00000,-9.0256e-002,1.22573
 40.88300, 15.70833, 2.4391e-002,98.15314,50.00000,0.0000e+000,20.00000,-9.0406e-002,1.22572
 40.88800, 15.71333, 2.4391e-002,98.15264,50.00000,0.0000e+000,20.00000,-9.0545e-002,1.22572
 40.89300, 15.71833, 2.4464e-002,98.15214,50.00000,0.0000e+000,20.00000,-9.0673e-002,1.22571
 40.89900, 15.72333, 2.4590e-002,98.15164,50.00000,0.0000e+000,20.00000,-9.0787e-002,1.22570
 40.89900, 15.72833, 2.4301e-002,98.15114,50.00000,0.0000e+000,20.00000,-9.0889e-002,1.22570
 40.88500, 15.73333, 2.4282e-002,98.15065,50.00000,0.0000e+000,20.00000,-9.0978e-002,1.22572
 40.87300, 15.73833, 2.4318e-002,98.15015,50.00000,0.0000e+000,20.00000,-9.1054e-002,1.22574
 40.88000, 15.74333, 2.4499e-002,98.14966,50.00000,0.0000e+000,20.00000,-9.1117e-002,1.22573
 40.87400, 15.74833, 2.4535e-002,98.14918,50.00000,0.0000e+000,20.00000,-9.1167e-002,1.22574
 40.88300, 15.75333, 2.4246e-002,98.14869,50.00000,0.0000e+000,20.00000,-9.1204e-002,1.22572
 40.90400, 15.75833, 2.4355e-002,98.14820,50.00000,0.0000e+000,20.00000,-9.1228e-002,1.22570
 40.90700, 15.76333, 2.4500e-002,98.14772,50.00000,0.0000e+000,20.00000,-9.1239e-002,1.22569
 40.90200, 15.76833, 2.4609e-002,98.14724,50.00000,0.0000e+000,20.00000,-9.1237e-002,1.22570
 40.90700, 15.77333, 2.4392e-002,98.14676,50.00000,0.0000e+000,20.00000,-9.1222e-002,1.22569
 40.90900, 15.77833, 2.4609e-002,98.14629,50.00000,0.0000e+000,20.00000,-9.1194e-002,1.22569
 40.92000, 15.78333, 2.4229e-002,98.14582,50.00000,0.0000e+000,20.00000,-9.1154e-002,1.22567
 40.92100, 15.78833, 2.4410e-002,98.14535,50.00000,0.0000e+000,20.00000,-9.1101e-002,1.22567
 40.92100, 15.79333, 2.4211e-002,98.14488,50.00000,0.0000e+000,20.00000,-9.1036e-002,1.22567
 40.92100, 15.79833, 2.4356e-002,98.14442,50.00000,0.0000e+000,20.00000,-9.0958e-002,1.22567
 40.92000, 15.80333, 2.4446e-002,98.14396,50.00000,0.0000e+000,20.00000,-9.0870e-002,1.22567
 40.94100, 15.80833, 2.4284e-002,98.14350,50.00000,0.0000e+000,20.00000,-9.0770e-002,1.22564
 40.92900, 15.81333, 2.4682e-002,98.14305,50.00000,0.0000e+000,20.00000,-9.0659e-002,1.22566
 40.93200, 15.81833, 2.4501e-002,98.14260,50.00000,0.0000e+000,20.00000,-9.0538e-002,1.22566
 40.93200, 15.82333, 2.4573e-002,98.14215,50.00000,0.0000e+000,20.00000,-9.0409e-002,1.22566
 40.93800, 15.82833, 2.4465e-002,98.14171,50.00000,0.0000e+000,20.00000,-9.0271e-002,1.22565
 40.92800, 15.83333, 2.4392e-002,98.14127,50.00000,0.0000e+000,20.00000,-9.0126e-002,1.22566
 40.93100, 15.83833, 2.4356e-002,98.14084,50.00000,0.0000e+000,20.00000,-8.9974e-002,1.22566
