#FILE:                       ,MgO5%DC14; 30-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,31/01/2025 1:59:28 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,MgO5%DC14                          
#SAMPLE MASS /mg:            ,39                                 
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.61100, 15.02417, 3.4878e-002,97.54270,50.00000,0.0000e+000,20.00000,    -0.12003,1.22610
 40.61800, 15.02917, 3.4942e-002,97.54213,50.00000,0.0000e+000,20.00000,    -0.11643,1.22609
 40.62500, 15.03417, 3.4878e-002,97.54157,50.00000,0.0000e+000,20.00000,    -0.11324,1.22608
 40.63100, 15.03917, 3.4799e-002,97.54103,50.00000,0.0000e+000,20.00000,    -0.11041,1.22607
 40.63000, 15.04417, 3.4974e-002,97.54051,50.00000,0.0000e+000,20.00000,    -0.10787,1.22607
 40.63500, 15.04917, 3.4863e-002,97.54000,50.00000,0.0000e+000,20.00000,    -0.10559,1.22607
 40.62100, 15.05417, 3.4878e-002,97.53950,50.00000,0.0000e+000,20.00000,    -0.10354,1.22609
 40.63700, 15.05917, 3.4783e-002,97.53901,50.00000,0.0000e+000,20.00000,    -0.10169,1.22606
 40.62300, 15.06417, 3.4958e-002,97.53853,50.00000,0.0000e+000,20.00000,    -0.10001,1.22608
 40.62400, 15.06917, 3.4767e-002,97.53807,50.00000,0.0000e+000,20.00000,-9.8496e-002,1.22608
 40.64300, 15.07417, 3.4608e-002,97.53761,50.00000,0.0000e+000,20.00000,-9.7117e-002,1.22606
 40.62700, 15.07917, 3.4894e-002,97.53716,50.00000,0.0000e+000,20.00000,-9.5863e-002,1.22608
 40.64300, 15.08417, 3.4592e-002,97.53672,50.00000,0.0000e+000,20.00000,-9.4719e-002,1.22606
 40.63700, 15.08917, 3.4719e-002,97.53628,50.00000,0.0000e+000,20.00000,-9.3675e-002,1.22606
 40.64300, 15.09417, 3.4592e-002,97.53585,50.00000,0.0000e+000,20.00000,-9.2718e-002,1.22606
 40.64300, 15.09917, 3.4783e-002,97.53543,50.00000,0.0000e+000,20.00000,-9.1839e-002,1.22606
 40.62600, 15.10417, 3.4719e-002,97.53501,50.00000,0.0000e+000,20.00000,-9.1031e-002,1.22608
 40.62300, 15.10917, 3.4511e-002,97.53459,50.00000,0.0000e+000,20.00000,-9.0288e-002,1.22608
 40.63000, 15.11417, 3.4416e-002,97.53418,50.00000,0.0000e+000,20.00000,-8.9607e-002,1.22607
 40.61800, 15.11917, 3.4607e-002,97.53377,50.00000,0.0000e+000,20.00000,-8.8984e-002,1.22609
 40.62600, 15.12417, 3.4639e-002,97.53337,50.00000,0.0000e+000,20.00000,-8.8418e-002,1.22608
 40.62100, 15.12917, 3.4703e-002,97.53297,50.00000,0.0000e+000,20.00000,-8.7908e-002,1.22609
 40.63300, 15.13417, 3.4528e-002,97.53257,50.00000,0.0000e+000,20.00000,-8.7452e-002,1.22607
 40.62600, 15.13917, 3.4559e-002,97.53218,50.00000,0.0000e+000,20.00000,-8.7049e-002,1.22608
 40.61700, 15.14417, 3.4527e-002,97.53179,50.00000,0.0000e+000,20.00000,-8.6698e-002,1.22609
 40.62100, 15.14917, 3.4703e-002,97.53140,50.00000,0.0000e+000,20.00000,-8.6397e-002,1.22609
 40.63000, 15.15417, 3.4544e-002,97.53101,50.00000,0.0000e+000,20.00000,-8.6145e-002,1.22607
 40.63600, 15.15917, 3.4655e-002,97.53062,50.00000,0.0000e+000,20.00000,-8.5938e-002,1.22607
 40.65200, 15.16417, 3.4401e-002,97.53024,50.00000,0.0000e+000,20.00000,-8.5773e-002,1.22604
 40.64500, 15.16917, 3.4432e-002,97.52986,50.00000,0.0000e+000,20.00000,-8.5648e-002,1.22605
 40.62200, 15.17417, 3.4783e-002,97.52947,50.00000,0.0000e+000,20.00000,-8.5560e-002,1.22608
 40.63000, 15.17917, 3.4544e-002,97.52909,50.00000,0.0000e+000,20.00000,-8.5503e-002,1.22607
 40.63100, 15.18417, 3.4512e-002,97.52871,50.00000,0.0000e+000,20.00000,-8.5476e-002,1.22607
 40.63900, 15.18917, 3.4464e-002,97.52833,50.00000,0.0000e+000,20.00000,-8.5473e-002,1.22606
 40.64000, 15.19417, 3.4640e-002,97.52796,50.00000,0.0000e+000,20.00000,-8.5491e-002,1.22606
 40.63900, 15.19917, 3.4592e-002,97.52758,50.00000,0.0000e+000,20.00000,-8.5528e-002,1.22606
 40.63300, 15.20417, 3.4560e-002,97.52720,50.00000,0.0000e+000,20.00000,-8.5579e-002,1.22607
 40.63000, 15.20917, 3.4512e-002,97.52683,50.00000,0.0000e+000,20.00000,-8.5641e-002,1.22607
 40.63700, 15.21417, 3.4384e-002,97.52645,50.00000,0.0000e+000,20.00000,-8.5712e-002,1.22606
 40.63700, 15.21917, 3.4352e-002,97.52608,50.00000,0.0000e+000,20.00000,-8.5790e-002,1.22606
 40.64400, 15.22417, 3.4560e-002,97.52570,50.00000,0.0000e+000,20.00000,-8.5872e-002,1.22605
 40.64900, 15.22917, 3.4273e-002,97.52533,50.00000,0.0000e+000,20.00000,-8.5958e-002,1.22605
 40.64600, 15.23417, 3.4385e-002,97.52496,50.00000,0.0000e+000,20.00000,-8.6044e-002,1.22605
 40.65200, 15.23917, 3.4337e-002,97.52458,50.00000,0.0000e+000,20.00000,-8.6131e-002,1.22604
 40.65600, 15.24417, 3.4640e-002,97.52421,50.00000,0.0000e+000,20.00000,-8.6219e-002,1.22604
 40.64900, 15.24917, 3.4496e-002,97.52383,50.00000,0.0000e+000,20.00000,-8.6306e-002,1.22605
 40.65000, 15.25417, 3.4592e-002,97.52345,50.00000,0.0000e+000,20.00000,-8.6392e-002,1.22605
 40.65000, 15.25917, 3.4385e-002,97.52308,50.00000,0.0000e+000,20.00000,-8.6477e-002,1.22605
 40.64900, 15.26417, 3.4496e-002,97.52270,50.00000,0.0000e+000,20.00000,-8.6562e-002,1.22605
 40.65700, 15.26917, 3.4433e-002,97.52232,50.00000,0.0000e+000,20.00000,-8.6647e-002,1.22604
 40.65000, 15.27417, 3.4161e-002,97.52194,50.00000,0.0000e+000,20.00000,-8.6731e-002,1.22605
 40.64600, 15.27917, 3.4321e-002,97.52155,50.00000,0.0000e+000,20.00000,-8.6815e-002,1.22605
 40.65300, 15.28417, 3.4146e-002,97.52117,50.00000,0.0000e+000,20.00000,-8.6899e-002,1.22604
 40.65400, 15.28917, 3.4497e-002,97.52078,50.00000,0.0000e+000,20.00000,-8.6983e-002,1.22604
 40.65300, 15.29417, 3.4640e-002,97.52039,50.00000,0.0000e+000,20.00000,-8.7067e-002,1.22604
 40.66600, 15.29917, 3.4417e-002,97.52000,50.00000,0.0000e+000,20.00000,-8.7151e-002,1.22602
 40.66200, 15.30417, 3.4194e-002,97.51961,50.00000,0.0000e+000,20.00000,-8.7234e-002,1.22603
 40.65600, 15.30917, 3.4465e-002,97.51921,50.00000,0.0000e+000,20.00000,-8.7318e-002,1.22604
 40.65700, 15.31417, 3.4481e-002,97.51881,50.00000,0.0000e+000,20.00000,-8.7401e-002,1.22604
 40.65300, 15.31917, 3.4193e-002,97.51841,50.00000,0.0000e+000,20.00000,-8.7483e-002,1.22604
 40.66600, 15.32417, 3.4226e-002,97.51801,50.00000,0.0000e+000,20.00000,-8.7564e-002,1.22602
 40.66700, 15.32917, 3.4082e-002,97.51760,50.00000,0.0000e+000,20.00000,-8.7645e-002,1.22602
 40.67300, 15.33417, 3.4290e-002,97.51720,50.00000,0.0000e+000,20.00000,-8.7724e-002,1.22601
 40.67800, 15.33917, 3.4402e-002,97.51679,50.00000,0.0000e+000,20.00000,-8.7803e-002,1.22601
 40.67800, 15.34417, 3.4194e-002,97.51637,50.00000,0.0000e+000,20.00000,-8.7881e-002,1.22601
 40.66000, 15.34917, 3.4210e-002,97.51596,50.00000,0.0000e+000,20.00000,-8.7958e-002,1.22603
 40.66200, 15.35417, 3.4385e-002,97.51554,50.00000,0.0000e+000,20.00000,-8.8035e-002,1.22603
 40.66200, 15.35917, 3.4226e-002,97.51512,50.00000,0.0000e+000,20.00000,-8.8112e-002,1.22603
 40.67600, 15.36417, 3.4386e-002,97.51470,50.00000,0.0000e+000,20.00000,-8.8189e-002,1.22601
