#FILE:                       ,MgO5%DC28; 14-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,14/02/2025 8:35:54 AM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,MgO5%DC28                          
#SAMPLE MASS /mg:            ,36.2                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 39.38900, 15.43083, 1.0025e-002,98.30820,50.00000,0.0000e+000,20.00000,-2.4963e-002,1.22778
 39.40500, 15.43583, 1.0437e-002,98.30804,50.00000,0.0000e+000,20.00000,-2.5021e-002,1.22776
 39.41100, 15.44083, 1.0111e-002,98.30788,50.00000,0.0000e+000,20.00000,-2.5073e-002,1.22775
 39.40000, 15.44583, 1.0265e-002,98.30772,50.00000,0.0000e+000,20.00000,-2.5122e-002,1.22777
 39.40900, 15.45083, 1.0385e-002,98.30755,50.00000,0.0000e+000,20.00000,-2.5165e-002,1.22776
 39.40900, 15.45583, 1.0214e-002,98.30739,50.00000,0.0000e+000,20.00000,-2.5203e-002,1.22776
 39.41200, 15.46083, 1.0042e-002,98.30722,50.00000,0.0000e+000,20.00000,-2.5237e-002,1.22775
 39.41500, 15.46583, 1.0265e-002,98.30704,50.00000,0.0000e+000,20.00000,-2.5265e-002,1.22775
 39.41200, 15.47083, 1.0059e-002,98.30687,50.00000,0.0000e+000,20.00000,-2.5288e-002,1.22775
 39.40900, 15.47583, 1.0179e-002,98.30670,50.00000,0.0000e+000,20.00000,-2.5306e-002,1.22776
 39.40800, 15.48083, 1.0248e-002,98.30652,50.00000,0.0000e+000,20.00000,-2.5317e-002,1.22776
 39.40200, 15.48583, 9.9047e-003,98.30635,50.00000,0.0000e+000,20.00000,-2.5323e-002,1.22777
 39.40600, 15.49083, 1.0197e-002,98.30617,50.00000,0.0000e+000,20.00000,-2.5323e-002,1.22776
 39.41200, 15.49583, 1.0111e-002,98.30599,50.00000,0.0000e+000,20.00000,-2.5317e-002,1.22775
 39.40200, 15.50083, 1.0111e-002,98.30581,50.00000,0.0000e+000,20.00000,-2.5304e-002,1.22777
 39.41100, 15.50583, 9.9563e-003,98.30564,50.00000,0.0000e+000,20.00000,-2.5284e-002,1.22775
 39.41300, 15.51083, 1.0076e-002,98.30546,50.00000,0.0000e+000,20.00000,-2.5258e-002,1.22775
 39.41100, 15.51583, 1.0076e-002,98.30528,50.00000,0.0000e+000,20.00000,-2.5226e-002,1.22775
 39.39900, 15.52083, 9.8360e-003,98.30510,50.00000,0.0000e+000,20.00000,-2.5186e-002,1.22777
 39.39300, 15.52583, 1.0093e-002,98.30492,50.00000,0.0000e+000,20.00000,-2.5140e-002,1.22778
 39.39600, 15.53083, 1.0179e-002,98.30474,50.00000,0.0000e+000,20.00000,-2.5087e-002,1.22778
 39.40100, 15.53583, 9.9219e-003,98.30456,50.00000,0.0000e+000,20.00000,-2.5028e-002,1.22777
 39.39600, 15.54083, 9.7501e-003,98.30438,50.00000,0.0000e+000,20.00000,-2.4962e-002,1.22778
 39.42200, 15.54583, 9.7676e-003,98.30420,50.00000,0.0000e+000,20.00000,-2.4890e-002,1.22774
 39.39800, 15.55083, 9.7330e-003,98.30402,50.00000,0.0000e+000,20.00000,-2.4812e-002,1.22777
 39.41400, 15.55583, 9.9907e-003,98.30384,50.00000,0.0000e+000,20.00000,-2.4729e-002,1.22775
 39.42400, 15.56083, 9.9221e-003,98.30366,50.00000,0.0000e+000,20.00000,-2.4640e-002,1.22774
 39.41600, 15.56583, 9.4929e-003,98.30348,50.00000,0.0000e+000,20.00000,-2.4547e-002,1.22775
 39.41600, 15.57083, 9.7160e-003,98.30330,50.00000,0.0000e+000,20.00000,-2.4450e-002,1.22775
 39.39300, 15.57583, 9.7329e-003,98.30312,50.00000,0.0000e+000,20.00000,-2.4349e-002,1.22778
 39.41200, 15.58083, 9.4070e-003,98.30295,50.00000,0.0000e+000,20.00000,-2.4245e-002,1.22775
 39.41100, 15.58583, 9.3727e-003,98.30277,50.00000,0.0000e+000,20.00000,-2.4140e-002,1.22775
 39.41400, 15.59083, 9.5615e-003,98.30259,50.00000,0.0000e+000,20.00000,-2.4032e-002,1.22775
 39.42700, 15.59583, 9.3900e-003,98.30242,50.00000,0.0000e+000,20.00000,-2.3924e-002,1.22773
 39.42500, 15.60083, 9.6475e-003,98.30224,50.00000,0.0000e+000,20.00000,-2.3816e-002,1.22774
 39.41900, 15.60583, 9.2526e-003,98.30207,50.00000,0.0000e+000,20.00000,-2.3709e-002,1.22774
 39.40900, 15.61083, 9.4585e-003,98.30190,50.00000,0.0000e+000,20.00000,-2.3603e-002,1.22776
 39.42800, 15.61583, 9.6647e-003,98.30172,50.00000,0.0000e+000,20.00000,-2.3498e-002,1.22773
 39.42400, 15.62083, 9.3556e-003,98.30155,50.00000,0.0000e+000,20.00000,-2.3397e-002,1.22774
 39.42100, 15.62583, 9.4243e-003,98.30138,50.00000,0.0000e+000,20.00000,-2.3298e-002,1.22774
 39.43800, 15.63083, 9.3214e-003,98.30121,50.00000,0.0000e+000,20.00000,-2.3203e-002,1.22772
 39.42800, 15.63583, 9.2012e-003,98.30104,50.00000,0.0000e+000,20.00000,-2.3113e-002,1.22773
 39.42900, 15.64083, 9.1325e-003,98.30087,50.00000,0.0000e+000,20.00000,-2.3026e-002,1.22773
 39.43200, 15.64583, 9.1669e-003,98.30070,50.00000,0.0000e+000,20.00000,-2.2944e-002,1.22773
 39.42500, 15.65083, 9.0295e-003,98.30053,50.00000,0.0000e+000,20.00000,-2.2868e-002,1.22774
 39.43500, 15.65583, 9.3386e-003,98.30037,50.00000,0.0000e+000,20.00000,-2.2796e-002,1.22772
 39.42800, 15.66083, 9.2527e-003,98.30020,50.00000,0.0000e+000,20.00000,-2.2730e-002,1.22773
 39.42500, 15.66583, 9.1325e-003,98.30003,50.00000,0.0000e+000,20.00000,-2.2668e-002,1.22774
