#FILE:                       ,OPC9%D28; 13-1-2025.ngb-ds3        
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,Geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,14/01/2025 11:19:12 AM             
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC9%D28;13-1-2025                 
#SAMPLE MASS /mg:            ,36                                 
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.06200, 14.99917, 7.4883e-002,97.34722,50.00000,0.0000e+000,20.00000,    -0.47362,1.22686
 40.08600, 15.00417, 7.4799e-002,97.34397,50.00000,0.0000e+000,20.00000,    -0.42000,1.22682
 40.08500, 15.00917, 7.4816e-002,97.34206,50.00000,0.0000e+000,20.00000,    -0.36638,1.22683
 40.07500, 15.01417, 7.4867e-002,97.34065,50.00000,0.0000e+000,20.00000,    -0.32049,1.22684
 40.08700, 15.01917, 7.4902e-002,97.33943,50.00000,0.0000e+000,20.00000,    -0.29171,1.22682
 40.08200, 15.02417, 7.4746e-002,97.33829,50.00000,0.0000e+000,20.00000,    -0.27282,1.22683
 40.09800, 15.02917, 7.4938e-002,97.33721,50.00000,0.0000e+000,20.00000,    -0.25941,1.22681
 40.09100, 15.03417, 7.4885e-002,97.33614,50.00000,0.0000e+000,20.00000,    -0.24919,1.22682
 40.08200, 15.03917, 7.4885e-002,97.33509,50.00000,0.0000e+000,20.00000,    -0.24109,1.22683
 40.10100, 15.04417, 7.5076e-002,97.33405,50.00000,0.0000e+000,20.00000,    -0.23449,1.22680
 40.09200, 15.04917, 7.4782e-002,97.33304,50.00000,0.0000e+000,20.00000,    -0.22899,1.22682
 40.11100, 15.05417, 7.4818e-002,97.33205,50.00000,0.0000e+000,20.00000,    -0.22433,1.22679
 40.09500, 15.05917, 7.5024e-002,97.33108,50.00000,0.0000e+000,20.00000,    -0.22033,1.22681
 40.09700, 15.06417, 7.4886e-002,97.33012,50.00000,0.0000e+000,20.00000,    -0.21685,1.22681
 40.10500, 15.06917, 7.4973e-002,97.32917,50.00000,0.0000e+000,20.00000,    -0.21381,1.22680
 40.09700, 15.07417, 7.4851e-002,97.32823,50.00000,0.0000e+000,20.00000,    -0.21112,1.22681
 40.08600, 15.07917, 7.4833e-002,97.32730,50.00000,0.0000e+000,20.00000,    -0.20873,1.22682
 40.08400, 15.08417, 7.4712e-002,97.32638,50.00000,0.0000e+000,20.00000,    -0.20660,1.22683
 40.07900, 15.08917, 7.4556e-002,97.32546,50.00000,0.0000e+000,20.00000,    -0.20468,1.22683
 40.07700, 15.09417, 7.4919e-002,97.32455,50.00000,0.0000e+000,20.00000,    -0.20295,1.22684
 40.09100, 15.09917, 7.4713e-002,97.32365,50.00000,0.0000e+000,20.00000,    -0.20139,1.22682
 40.11400, 15.10417, 7.4645e-002,97.32275,50.00000,0.0000e+000,20.00000,    -0.19997,1.22679
 40.10000, 15.10917, 7.4696e-002,97.32185,50.00000,0.0000e+000,20.00000,    -0.19868,1.22680
 40.08600, 15.11417, 7.4799e-002,97.32096,50.00000,0.0000e+000,20.00000,    -0.19750,1.22682
 40.10700, 15.11917, 7.4697e-002,97.32007,50.00000,0.0000e+000,20.00000,    -0.19644,1.22679
 40.10500, 15.12417, 7.4817e-002,97.31919,50.00000,0.0000e+000,20.00000,    -0.19547,1.22680
 40.10000, 15.12917, 7.4834e-002,97.31831,50.00000,0.0000e+000,20.00000,    -0.19459,1.22680
 40.10300, 15.13417, 7.4748e-002,97.31743,50.00000,0.0000e+000,20.00000,    -0.19380,1.22680
 40.09700, 15.13917, 7.4765e-002,97.31656,50.00000,0.0000e+000,20.00000,    -0.19309,1.22681
 40.10300, 15.14417, 7.4627e-002,97.31568,50.00000,0.0000e+000,20.00000,    -0.19246,1.22680
 40.10700, 15.14917, 7.4731e-002,97.31481,50.00000,0.0000e+000,20.00000,    -0.19189,1.22679
 40.08500, 15.15417, 7.4608e-002,97.31394,50.00000,0.0000e+000,20.00000,    -0.19140,1.22683
 40.10500, 15.15917, 7.4627e-002,97.31307,50.00000,0.0000e+000,20.00000,    -0.19097,1.22680
 40.10000, 15.16417, 7.4454e-002,97.31220,50.00000,0.0000e+000,20.00000,    -0.19060,1.22680
 40.11300, 15.16917, 7.4870e-002,97.31134,50.00000,0.0000e+000,20.00000,    -0.19027,1.22679
 40.10300, 15.17417, 7.4904e-002,97.31047,50.00000,0.0000e+000,20.00000,    -0.19000,1.22680
 40.10700, 15.17917, 7.4749e-002,97.30961,50.00000,0.0000e+000,20.00000,    -0.18977,1.22679
 40.11900, 15.18417, 7.4732e-002,97.30875,50.00000,0.0000e+000,20.00000,    -0.18958,1.22678
 40.11000, 15.18917, 7.4680e-002,97.30788,50.00000,0.0000e+000,20.00000,    -0.18943,1.22679
 40.11900, 15.19417, 7.4732e-002,97.30702,50.00000,0.0000e+000,20.00000,    -0.18930,1.22678
 40.11200, 15.19917, 7.4818e-002,97.30616,50.00000,0.0000e+000,20.00000,    -0.18920,1.22679
 40.11000, 15.20417, 7.4801e-002,97.30530,50.00000,0.0000e+000,20.00000,    -0.18913,1.22679
 40.12000, 15.20917, 7.4784e-002,97.30444,50.00000,0.0000e+000,20.00000,    -0.18907,1.22678
 40.12400, 15.21417, 7.4871e-002,97.30358,50.00000,0.0000e+000,20.00000,    -0.18903,1.22677
 40.13900, 15.21917, 7.4423e-002,97.30272,50.00000,0.0000e+000,20.00000,    -0.18900,1.22675
 40.13300, 15.22417, 7.4682e-002,97.30186,50.00000,0.0000e+000,20.00000,    -0.18898,1.22676
 40.12300, 15.22917, 7.4698e-002,97.30099,50.00000,0.0000e+000,20.00000,    -0.18897,1.22677
 40.15800, 15.23417, 7.4839e-002,97.30013,50.00000,0.0000e+000,20.00000,    -0.18897,1.22672
 40.14200, 15.23917, 7.4751e-002,97.29927,50.00000,0.0000e+000,20.00000,    -0.18898,1.22675
 40.13300, 15.24417, 7.4958e-002,97.29841,50.00000,0.0000e+000,20.00000,    -0.18900,1.22676
 40.12100, 15.24917, 7.4974e-002,97.29754,50.00000,0.0000e+000,20.00000,    -0.18901,1.22678
 40.14600, 15.25417, 7.4700e-002,97.29668,50.00000,0.0000e+000,20.00000,    -0.18904,1.22674
 40.13600, 15.25917, 7.4613e-002,97.29581,50.00000,0.0000e+000,20.00000,    -0.18907,1.22675
 40.14200, 15.26417, 7.4872e-002,97.29494,50.00000,0.0000e+000,20.00000,    -0.18911,1.22675
 40.14300, 15.26917, 7.4665e-002,97.29407,50.00000,0.0000e+000,20.00000,    -0.18915,1.22675
 40.14800, 15.27417, 7.4804e-002,97.29320,50.00000,0.0000e+000,20.00000,    -0.18920,1.22674
 40.13600, 15.27917, 7.4768e-002,97.29233,50.00000,0.0000e+000,20.00000,    -0.18926,1.22675
 40.12600, 15.28417, 7.4785e-002,97.29146,50.00000,0.0000e+000,20.00000,    -0.18933,1.22677
 40.12700, 15.28917, 7.5165e-002,97.29058,50.00000,0.0000e+000,20.00000,    -0.18940,1.22677
 40.13000, 15.29417, 7.4837e-002,97.28970,50.00000,0.0000e+000,20.00000,    -0.18949,1.22676
 40.15600, 15.29917, 7.4908e-002,97.28882,50.00000,0.0000e+000,20.00000,    -0.18958,1.22673
