#FILE:                       ,OPC9%DC14; 30-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,31/01/2025 8:16:42 AM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC9%DC14                          
#SAMPLE MASS /mg:            ,38.4                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.54700, 15.04000, 3.0462e-002,97.85513,50.00000,0.0000e+000,20.00000,-8.7999e-002,1.22619
 40.56200, 15.04500, 3.0398e-002,97.85475,50.00000,0.0000e+000,20.00000,-8.6299e-002,1.22617
 40.56600, 15.05000, 3.0349e-002,97.85436,50.00000,0.0000e+000,20.00000,-8.4902e-002,1.22616
 40.56300, 15.05500, 3.0301e-002,97.85398,50.00000,0.0000e+000,20.00000,-8.3729e-002,1.22617
 40.55300, 15.06000, 3.0397e-002,97.85360,50.00000,0.0000e+000,20.00000,-8.2731e-002,1.22618
 40.55300, 15.06500, 3.0479e-002,97.85323,50.00000,0.0000e+000,20.00000,-8.1872e-002,1.22618
 40.56300, 15.07000, 3.0625e-002,97.85286,50.00000,0.0000e+000,20.00000,-8.1125e-002,1.22617
 40.56900, 15.07500, 3.0382e-002,97.85249,50.00000,0.0000e+000,20.00000,-8.0470e-002,1.22616
 40.56800, 15.08000, 3.0382e-002,97.85212,50.00000,0.0000e+000,20.00000,-7.9891e-002,1.22616
 40.56800, 15.08500, 3.0414e-002,97.85175,50.00000,0.0000e+000,20.00000,-7.9378e-002,1.22616
 40.57200, 15.09000, 3.0350e-002,97.85138,50.00000,0.0000e+000,20.00000,-7.8921e-002,1.22615
 40.56500, 15.09500, 3.0430e-002,97.85102,50.00000,0.0000e+000,20.00000,-7.8510e-002,1.22616
 40.57500, 15.10000, 3.0301e-002,97.85066,50.00000,0.0000e+000,20.00000,-7.8140e-002,1.22615
 40.57300, 15.10500, 3.0447e-002,97.85029,50.00000,0.0000e+000,20.00000,-7.7806e-002,1.22615
 40.57300, 15.11000, 3.0252e-002,97.84993,50.00000,0.0000e+000,20.00000,-7.7503e-002,1.22615
 40.57800, 15.11500, 3.0431e-002,97.84957,50.00000,0.0000e+000,20.00000,-7.7227e-002,1.22615
 40.57200, 15.12000, 3.0366e-002,97.84921,50.00000,0.0000e+000,20.00000,-7.6977e-002,1.22615
 40.57900, 15.12500, 3.0528e-002,97.84885,50.00000,0.0000e+000,20.00000,-7.6749e-002,1.22614
 40.57300, 15.13000, 3.0269e-002,97.84849,50.00000,0.0000e+000,20.00000,-7.6543e-002,1.22615
 40.57800, 15.13500, 3.0382e-002,97.84813,50.00000,0.0000e+000,20.00000,-7.6356e-002,1.22615
 40.57000, 15.14000, 3.0366e-002,97.84777,50.00000,0.0000e+000,20.00000,-7.6187e-002,1.22616
 40.58400, 15.14500, 3.0334e-002,97.84741,50.00000,0.0000e+000,20.00000,-7.6033e-002,1.22614
 40.57200, 15.15000, 3.0722e-002,97.84706,50.00000,0.0000e+000,20.00000,-7.5894e-002,1.22615
 40.58800, 15.15500, 3.0399e-002,97.84670,50.00000,0.0000e+000,20.00000,-7.5768e-002,1.22613
 40.56500, 15.16000, 3.0155e-002,97.84634,50.00000,0.0000e+000,20.00000,-7.5653e-002,1.22616
 40.57200, 15.16500, 3.0187e-002,97.84599,50.00000,0.0000e+000,20.00000,-7.5547e-002,1.22615
 40.59200, 15.17000, 3.0269e-002,97.84563,50.00000,0.0000e+000,20.00000,-7.5450e-002,1.22613
 40.57600, 15.17500, 3.0495e-002,97.84527,50.00000,0.0000e+000,20.00000,-7.5360e-002,1.22615
 40.58500, 15.18000, 3.0188e-002,97.84492,50.00000,0.0000e+000,20.00000,-7.5275e-002,1.22614
 40.58100, 15.18500, 3.0220e-002,97.84456,50.00000,0.0000e+000,20.00000,-7.5195e-002,1.22614
 40.57600, 15.19000, 3.0252e-002,97.84420,50.00000,0.0000e+000,20.00000,-7.5119e-002,1.22615
 40.58300, 15.19500, 3.0317e-002,97.84385,50.00000,0.0000e+000,20.00000,-7.5046e-002,1.22614
 40.57300, 15.20000, 3.0269e-002,97.84349,50.00000,0.0000e+000,20.00000,-7.4976e-002,1.22615
 40.58800, 15.20500, 3.0301e-002,97.84313,50.00000,0.0000e+000,20.00000,-7.4909e-002,1.22613
 40.58300, 15.21000, 3.0301e-002,97.84278,50.00000,0.0000e+000,20.00000,-7.4844e-002,1.22614
 40.58500, 15.21500, 3.0301e-002,97.84242,50.00000,0.0000e+000,20.00000,-7.4784e-002,1.22614
 40.58200, 15.22000, 3.0220e-002,97.84206,50.00000,0.0000e+000,20.00000,-7.4727e-002,1.22614
 40.57700, 15.22500, 3.0171e-002,97.84171,50.00000,0.0000e+000,20.00000,-7.4676e-002,1.22615
 40.57700, 15.23000, 3.0139e-002,97.84135,50.00000,0.0000e+000,20.00000,-7.4631e-002,1.22615
 40.58900, 15.23500, 3.0091e-002,97.84099,50.00000,0.0000e+000,20.00000,-7.4594e-002,1.22613
 40.59500, 15.24000, 3.0156e-002,97.84064,50.00000,0.0000e+000,20.00000,-7.4566e-002,1.22612
 40.58900, 15.24500, 3.0496e-002,97.84028,50.00000,0.0000e+000,20.00000,-7.4550e-002,1.22613
 40.58500, 15.25000, 3.0075e-002,97.83992,50.00000,0.0000e+000,20.00000,-7.4546e-002,1.22614
 40.59100, 15.25500, 3.0172e-002,97.83957,50.00000,0.0000e+000,20.00000,-7.4555e-002,1.22613
 40.57500, 15.26000, 3.0058e-002,97.83921,50.00000,0.0000e+000,20.00000,-7.4581e-002,1.22615
 40.57600, 15.26500, 3.0269e-002,97.83885,50.00000,0.0000e+000,20.00000,-7.4622e-002,1.22615
