#FILE:                       ,OPC9%DC1; 14-1-2025.ngb-ds3        
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,17/01/2025 9:15:30 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC9%DC1;17-1-2025                 
#SAMPLE MASS /mg:            ,37                                 
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.21300, 15.02917, 7.8133e-002,97.29084,50.00000,0.0000e+000,20.00000,    -0.28746,1.22665
 40.23200, 15.03417, 7.8185e-002,97.28975,50.00000,0.0000e+000,20.00000,    -0.27406,1.22662
 40.22300, 15.03917, 7.8285e-002,97.28868,50.00000,0.0000e+000,20.00000,    -0.26389,1.22663
 40.22200, 15.04417, 7.8302e-002,97.28763,50.00000,0.0000e+000,20.00000,    -0.25590,1.22664
 40.23200, 15.04917, 7.8101e-002,97.28661,50.00000,0.0000e+000,20.00000,    -0.24945,1.22662
 40.23000, 15.05417, 7.8134e-002,97.28559,50.00000,0.0000e+000,20.00000,    -0.24413,1.22663
 40.23000, 15.05917, 7.8000e-002,97.28459,50.00000,0.0000e+000,20.00000,    -0.23966,1.22663
 40.23300, 15.06417, 7.8152e-002,97.28359,50.00000,0.0000e+000,20.00000,    -0.23586,1.22662
 40.22800, 15.06917, 7.8235e-002,97.28259,50.00000,0.0000e+000,20.00000,    -0.23258,1.22663
 40.23100, 15.07417, 7.8151e-002,97.28161,50.00000,0.0000e+000,20.00000,    -0.22973,1.22662
 40.24300, 15.07917, 7.8270e-002,97.28062,50.00000,0.0000e+000,20.00000,    -0.22723,1.22661
 40.24800, 15.08417, 7.8237e-002,97.27965,50.00000,0.0000e+000,20.00000,    -0.22501,1.22660
 40.24800, 15.08917, 7.8002e-002,97.27867,50.00000,0.0000e+000,20.00000,    -0.22304,1.22660
 40.23600, 15.09417, 7.8001e-002,97.27770,50.00000,0.0000e+000,20.00000,    -0.22129,1.22662
 40.23500, 15.09917, 7.8000e-002,97.27673,50.00000,0.0000e+000,20.00000,    -0.21971,1.22662
 40.24500, 15.10417, 7.8253e-002,97.27576,50.00000,0.0000e+000,20.00000,    -0.21829,1.22660
 40.23900, 15.10917, 7.7934e-002,97.27480,50.00000,0.0000e+000,20.00000,    -0.21701,1.22661
 40.24600, 15.11417, 7.8203e-002,97.27383,50.00000,0.0000e+000,20.00000,    -0.21584,1.22660
 40.24600, 15.11917, 7.8153e-002,97.27287,50.00000,0.0000e+000,20.00000,    -0.21479,1.22660
 40.24200, 15.12417, 7.8119e-002,97.27191,50.00000,0.0000e+000,20.00000,    -0.21384,1.22661
 40.25200, 15.12917, 7.8036e-002,97.27095,50.00000,0.0000e+000,20.00000,    -0.21297,1.22659
 40.25600, 15.13417, 7.8103e-002,97.26999,50.00000,0.0000e+000,20.00000,    -0.21219,1.22659
 40.25200, 15.13917, 7.7985e-002,97.26904,50.00000,0.0000e+000,20.00000,    -0.21148,1.22659
 40.24000, 15.14417, 7.8051e-002,97.26808,50.00000,0.0000e+000,20.00000,    -0.21084,1.22661
 40.25000, 15.14917, 7.8035e-002,97.26713,50.00000,0.0000e+000,20.00000,    -0.21027,1.22660
 40.24600, 15.15417, 7.8001e-002,97.26617,50.00000,0.0000e+000,20.00000,    -0.20975,1.22660
 40.24900, 15.15917, 7.7951e-002,97.26522,50.00000,0.0000e+000,20.00000,    -0.20929,1.22660
 40.26100, 15.16417, 7.7851e-002,97.26426,50.00000,0.0000e+000,20.00000,    -0.20888,1.22658
 40.25200, 15.16917, 7.7951e-002,97.26331,50.00000,0.0000e+000,20.00000,    -0.20852,1.22659
 40.25400, 15.17417, 7.8086e-002,97.26236,50.00000,0.0000e+000,20.00000,    -0.20820,1.22659
 40.24600, 15.17917, 7.7850e-002,97.26141,50.00000,0.0000e+000,20.00000,    -0.20792,1.22660
 40.24800, 15.18417, 7.7951e-002,97.26045,50.00000,0.0000e+000,20.00000,    -0.20768,1.22660
 40.24800, 15.18917, 7.7985e-002,97.25950,50.00000,0.0000e+000,20.00000,    -0.20746,1.22660
 40.26500, 15.19417, 7.7869e-002,97.25855,50.00000,0.0000e+000,20.00000,    -0.20728,1.22658
 40.26200, 15.19917, 7.8020e-002,97.25760,50.00000,0.0000e+000,20.00000,    -0.20712,1.22658
 40.26200, 15.20417, 7.7852e-002,97.25664,50.00000,0.0000e+000,20.00000,    -0.20698,1.22658
 40.26600, 15.20917, 7.7885e-002,97.25569,50.00000,0.0000e+000,20.00000,    -0.20686,1.22658
