#FILE:                       ,A8%DC14; 30-1-2025.ngb-ds3         ,,,,,,,
#FORMAT:                     ,NETZSCH5                           ,,,,,,,
#IDENTITY:                   ,GEOPOLYMER PASTE                   ,,,,,,,
#DECIMAL:                    ,POINT                              ,,,,,,,
#SEPARATOR:                  ,COMMA                              ,,,,,,,
#MTYPE:                      ,DSC                                ,,,,,,,
#INSTRUMENT:                 ,Microlab TU Delft                  ,,,,,,,
#PROJECT:                    ,                                   ,,,,,,,
#DATE/TIME:                  ,31/01/2025 4:40:42 PM              ,,,,,,,
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3,,,,,,,
#LABORATORY:                 ,TU Delft Micro Lab                 ,,,,,,,
#OPERATOR:                   ,Ahmed                              ,,,,,,,
#REMARK:                     ,under Argon atmosphere, 10K/min    ,,,,,,
#SAMPLE:                     ,A8%DC14                            ,,,,,,,
#SAMPLE MASS /mg:            ,32.8,,,,,,,
#MATERIAL:                   ,Geopolymer paste                   ,,,,,,,
#REFERENCE:                  ,blank                              ,,,,,,,
#REFERENCE MASS /mg:         ,0,,,,,,,
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   ,,,,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,,,,
#CORR. CODE:                 ,20,,,,,,,
#EXO:                        ,-1,,,,,,,
#RANGE:                      ,40/10.0(K/min)/1000                ,,,,,,,
#SEGMENT:                    ,S2/2                               ,,,,,,,
,,,,,,,,
##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
50.407,18.32583,-4.59E-02,92.77021,50,0.00E+00,20,-0.11865,1.2126
50.423,18.33083,-4.58E-02,92.76962,50,0.00E+00,20,-0.11816,1.21258
50.423,18.33583,-4.59E-02,92.76903,50,0.00E+00,20,-0.11764,1.21258
50.426,18.34083,-4.63E-02,92.76844,50,0.00E+00,20,-0.11712,1.21257
50.423,18.34583,-4.63E-02,92.76786,50,0.00E+00,20,-0.11663,1.21258
50.438,18.35083,-4.64E-02,92.76728,50,0.00E+00,20,-0.11617,1.21256
50.444,18.35583,-4.64E-02,92.7667,50,0.00E+00,20,-0.11574,1.21255
50.443,18.36083,-4.64E-02,92.76612,50,0.00E+00,20,-0.11533,1.21255
50.444,18.36583,-4.64E-02,92.76554,50,0.00E+00,20,-0.11492,1.21255
50.438,18.37083,-4.67E-02,92.76497,50,0.00E+00,20,-0.11451,1.21256
50.434,18.37583,-4.66E-02,92.7644,50,0.00E+00,20,-0.11406,1.21256
50.438,18.38083,-4.66E-02,92.76383,50,0.00E+00,20,-0.11355,1.21256
50.434,18.38583,-4.67E-02,92.76326,50,0.00E+00,20,-0.11299,1.21256
50.451,18.39083,-4.70E-02,92.7627,50,0.00E+00,20,-0.11242,1.21254
50.423,18.39583,-4.67E-02,92.76214,50,0.00E+00,20,-0.11191,1.21258
50.42,18.40083,-4.68E-02,92.76158,50,0.00E+00,20,-0.11148,1.21258
50.423,18.40583,-4.70E-02,92.76103,50,0.00E+00,20,-0.11111,1.21258
50.413,18.41083,-4.70E-02,92.76047,50,0.00E+00,20,-0.1107,1.21259
50.429,18.41583,-4.68E-02,92.75992,50,0.00E+00,20,-0.11021,1.21257
50.427,18.42083,-4.71E-02,92.75936,50,0.00E+00,20,-0.1096,1.21257
