#FILE:                       ,A8%DC28; 14-2-2025.ngb-ds3         
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,14/02/2025 11:10:13 AM             
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,A8%DC28                            
#SAMPLE MASS /mg:            ,32.6                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,720                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 57.14000, 18.66750,-9.3443e-002,91.87196,50.00000,0.0000e+000,20.00000,-4.0761e-002,1.20333
 57.17300, 18.67250,-9.3484e-002,91.87181,50.00000,0.0000e+000,20.00000,-4.0312e-002,1.20329
 57.17800, 18.67750,-9.3524e-002,91.87167,50.00000,0.0000e+000,20.00000,-3.9864e-002,1.20328
 57.16500, 18.68250,-9.3563e-002,91.87154,50.00000,0.0000e+000,20.00000,-3.9415e-002,1.20330
 57.17600, 18.68750,-9.3601e-002,91.87140,50.00000,0.0000e+000,20.00000,-3.8966e-002,1.20328
 57.17200, 18.69250,-9.3639e-002,91.87128,50.00000,0.0000e+000,20.00000,-3.8517e-002,1.20329
 57.17900, 18.69750,-9.3676e-002,91.87116,50.00000,0.0000e+000,20.00000,-3.8067e-002,1.20328
 57.17600, 18.70250,-9.3712e-002,91.87104,50.00000,0.0000e+000,20.00000,-3.7617e-002,1.20328
 57.16400, 18.70750,-9.3748e-002,91.87093,50.00000,0.0000e+000,20.00000,-3.7167e-002,1.20330
 57.17000, 18.71250,-9.3783e-002,91.87083,50.00000,0.0000e+000,20.00000,-3.6717e-002,1.20329
 57.17800, 18.71750,-9.3818e-002,91.87073,50.00000,0.0000e+000,20.00000,-3.6266e-002,1.20328
 57.16100, 18.72250,-9.3851e-002,91.87064,50.00000,0.0000e+000,20.00000,-3.5815e-002,1.20330
 57.16900, 18.72750,-9.3884e-002,91.87055,50.00000,0.0000e+000,20.00000,-3.5364e-002,1.20329
 57.18100, 18.73250,-9.3917e-002,91.87047,50.00000,0.0000e+000,20.00000,-3.4912e-002,1.20328
 57.16000, 18.73750,-9.3949e-002,91.87040,50.00000,0.0000e+000,20.00000,-3.4460e-002,1.20331
 57.15900, 18.74250,-9.3980e-002,91.87033,50.00000,0.0000e+000,20.00000,-3.4008e-002,1.20331
 57.16100, 18.74750,-9.4010e-002,91.87026,50.00000,0.0000e+000,20.00000,-3.3556e-002,1.20330
 57.16500, 18.75250,-9.4040e-002,91.87020,50.00000,0.0000e+000,20.00000,-3.3103e-002,1.20330
 57.17400, 18.75750,-9.4069e-002,91.87015,50.00000,0.0000e+000,20.00000,-3.2650e-002,1.20329
 57.15700, 18.76250,-9.4097e-002,91.87010,50.00000,0.0000e+000,20.00000,-3.2196e-002,1.20331
 57.19000, 18.76750,-9.4125e-002,91.87006,50.00000,0.0000e+000,20.00000,-3.1743e-002,1.20326
 57.16300, 18.77250,-9.4152e-002,91.87002,50.00000,0.0000e+000,20.00000,-3.1289e-002,1.20330
 57.18200, 18.77750,-9.4178e-002,91.86998,50.00000,0.0000e+000,20.00000,-3.0835e-002,1.20328
 57.17500, 18.78250,-9.4204e-002,91.86996,50.00000,0.0000e+000,20.00000,-3.0381e-002,1.20329
 57.18400, 18.78750,-9.4230e-002,91.86993,50.00000,0.0000e+000,20.00000,-2.9926e-002,1.20327
 57.16500, 18.79250,-9.4254e-002,91.86991,50.00000,0.0000e+000,20.00000,-2.9472e-002,1.20330
 57.17400, 18.79750,-9.4278e-002,91.86990,50.00000,0.0000e+000,20.00000,-2.9017e-002,1.20329
 57.17100, 18.80250,-9.4301e-002,91.86989,50.00000,0.0000e+000,20.00000,-2.8563e-002,1.20329
 57.18000, 18.80750,-9.4324e-002,91.86989,50.00000,0.0000e+000,20.00000,-2.8108e-002,1.20328
 57.19200, 18.81250,-9.4346e-002,91.86989,50.00000,0.0000e+000,20.00000,-2.7653e-002,1.20326
 57.17500, 18.81750,-9.4368e-002,91.86989,50.00000,0.0000e+000,20.00000,-2.7198e-002,1.20329
 57.18300, 18.82250,-9.4389e-002,91.86990,50.00000,0.0000e+000,20.00000,-2.6744e-002,1.20327
 57.18300, 18.82750,-9.4409e-002,91.86991,50.00000,0.0000e+000,20.00000,-2.6289e-002,1.20327
 57.19400, 18.83250,-9.4429e-002,91.86993,50.00000,0.0000e+000,20.00000,-2.5835e-002,1.20326
 57.18300, 18.83750,-9.4448e-002,91.86995,50.00000,0.0000e+000,20.00000,-2.5380e-002,1.20327
 57.19000, 18.84250,-9.4467e-002,91.86997,50.00000,0.0000e+000,20.00000,-2.4926e-002,1.20326
 57.18800, 18.84750,-9.4485e-002,91.87000,50.00000,0.0000e+000,20.00000,-2.4472e-002,1.20327
 57.19000, 18.85250,-9.4503e-002,91.87003,50.00000,0.0000e+000,20.00000,-2.4018e-002,1.20326
 57.20400, 18.85750,-9.4519e-002,91.87007,50.00000,0.0000e+000,20.00000,-2.3564e-002,1.20325
 57.18500, 18.86250,-9.4536e-002,91.87010,50.00000,0.0000e+000,20.00000,-2.3111e-002,1.20327
 57.20300, 18.86750,-9.4552e-002,91.87015,50.00000,0.0000e+000,20.00000,-2.2658e-002,1.20325
 57.19900, 18.87250,-9.4567e-002,91.87019,50.00000,0.0000e+000,20.00000,-2.2205e-002,1.20325
 57.20000, 18.87750,-9.4582e-002,91.87024,50.00000,0.0000e+000,20.00000,-2.1752e-002,1.20325
 57.20300, 18.88250,-9.4596e-002,91.87029,50.00000,0.0000e+000,20.00000,-2.1299e-002,1.20325
 57.19300, 18.88750,-9.4610e-002,91.87035,50.00000,0.0000e+000,20.00000,-2.0847e-002,1.20326
 57.20700, 18.89250,-9.4623e-002,91.87041,50.00000,0.0000e+000,20.00000,-2.0395e-002,1.20324
 57.20600, 18.89750,-9.4636e-002,91.87047,50.00000,0.0000e+000,20.00000,-1.9943e-002,1.20324
 57.21200, 18.90250,-9.4648e-002,91.87053,50.00000,0.0000e+000,20.00000,-1.9491e-002,1.20323
 57.21400, 18.90750,-9.4660e-002,91.87060,50.00000,0.0000e+000,20.00000,-1.9040e-002,1.20323
 57.22000, 18.91250,-9.4671e-002,91.87067,50.00000,0.0000e+000,20.00000,-1.8589e-002,1.20322
 57.21900, 18.91750,-9.4682e-002,91.87074,50.00000,0.0000e+000,20.00000,-1.8138e-002,1.20323
 57.22100, 18.92250,-9.4692e-002,91.87082,50.00000,0.0000e+000,20.00000,-1.7688e-002,1.20322
 57.22500, 18.92750,-9.4702e-002,91.87090,50.00000,0.0000e+000,20.00000,-1.7238e-002,1.20322
 57.22100, 18.93250,-9.4711e-002,91.87098,50.00000,0.0000e+000,20.00000,-1.6788e-002,1.20322
 57.22900, 18.93750,-9.4720e-002,91.87106,50.00000,0.0000e+000,20.00000,-1.6338e-002,1.20321
 57.23300, 18.94250,-9.4728e-002,91.87115,50.00000,0.0000e+000,20.00000,-1.5889e-002,1.20321
 57.24300, 18.94750,-9.4736e-002,91.87123,50.00000,0.0000e+000,20.00000,-1.5440e-002,1.20319
 57.24800, 18.95250,-9.4744e-002,91.87132,50.00000,0.0000e+000,20.00000,-1.4991e-002,1.20319
 57.24500, 18.95750,-9.4750e-002,91.87142,50.00000,0.0000e+000,20.00000,-1.4543e-002,1.20319
 57.24600, 18.96250,-9.4757e-002,91.87151,50.00000,0.0000e+000,20.00000,-1.4095e-002,1.20319
 57.23900, 18.96750,-9.4763e-002,91.87161,50.00000,0.0000e+000,20.00000,-1.3647e-002,1.20320
 57.24800, 18.97250,-9.4769e-002,91.87171,50.00000,0.0000e+000,20.00000,-1.3200e-002,1.20319
 57.23700, 18.97750,-9.4774e-002,91.87181,50.00000,0.0000e+000,20.00000,-1.2753e-002,1.20320
 57.25000, 18.98250,-9.4779e-002,91.87191,50.00000,0.0000e+000,20.00000,-1.2307e-002,1.20318
 57.24900, 18.98750,-9.4783e-002,91.87201,50.00000,0.0000e+000,20.00000,-1.1861e-002,1.20318
 57.26100, 18.99250,-9.4787e-002,91.87212,50.00000,0.0000e+000,20.00000,-1.1416e-002,1.20317
 57.26300, 18.99750,-9.4790e-002,91.87223,50.00000,0.0000e+000,20.00000,-1.0972e-002,1.20316
 57.26300, 19.00250,-9.4794e-002,91.87234,50.00000,0.0000e+000,20.00000,-1.0528e-002,1.20316
 57.26800, 19.00750,-9.4796e-002,91.87245,50.00000,0.0000e+000,20.00000,-1.0085e-002,1.20316
 57.27200, 19.01250,-9.4798e-002,91.87257,50.00000,0.0000e+000,20.00000,-9.6420e-003,1.20315
