#FILE:                       ,B30S70DC28; 13-2-2025.ngb-ds3      
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,13/02/2025 7:56:58 AM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,B30S70DC28                         
#SAMPLE MASS /mg:            ,27                                 
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.75100, 15.00000, 2.0399e-002,98.06296,50.00000,0.0000e+000,20.00000,     0.17538,1.22591
 40.75100, 15.00167, 2.0399e-002,98.06456,50.00000,0.0000e+000,20.00000,     0.13233,1.22591
 40.75700, 15.00667, 2.0584e-002,98.06512,50.00000,0.0000e+000,20.00000, 8.9292e-002,1.22590
 40.76600, 15.01167, 2.0400e-002,98.06520,50.00000,0.0000e+000,20.00000, 5.3127e-002,1.22589
 40.76400, 15.01667, 2.0215e-002,98.06511,50.00000,0.0000e+000,20.00000, 3.2124e-002,1.22589
 40.76100, 15.02167, 2.0538e-002,98.06498,50.00000,0.0000e+000,20.00000, 1.9573e-002,1.22589
 40.77000, 15.02667, 2.0469e-002,98.06486,50.00000,0.0000e+000,20.00000, 1.1338e-002,1.22588
 40.76300, 15.03167, 2.0307e-002,98.06474,50.00000,0.0000e+000,20.00000, 5.4968e-003,1.22589
 40.77000, 15.03667, 2.0561e-002,98.06463,50.00000,0.0000e+000,20.00000, 1.2003e-003,1.22588
 40.76200, 15.04167, 2.0261e-002,98.06451,50.00000,0.0000e+000,20.00000,-2.0404e-003,1.22589
 40.76000, 15.04667, 2.0399e-002,98.06438,50.00000,0.0000e+000,20.00000,-4.5418e-003,1.22589
 40.76300, 15.05167, 2.0192e-002,98.06425,50.00000,0.0000e+000,20.00000,-6.5152e-003,1.22589
 40.76600, 15.05667, 2.0238e-002,98.06412,50.00000,0.0000e+000,20.00000,-8.1043e-003,1.22589
 40.76500, 15.06167, 2.0169e-002,98.06398,50.00000,0.0000e+000,20.00000,-9.4067e-003,1.22589
 40.76000, 15.06667, 2.0399e-002,98.06385,50.00000,0.0000e+000,20.00000,-1.0492e-002,1.22589
 40.75900, 15.07167, 2.0077e-002,98.06371,50.00000,0.0000e+000,20.00000,-1.1412e-002,1.22590
 40.76000, 15.07667, 1.9984e-002,98.06358,50.00000,0.0000e+000,20.00000,-1.2209e-002,1.22589
 40.77300, 15.08167, 2.0192e-002,98.06345,50.00000,0.0000e+000,20.00000,-1.2912e-002,1.22588
 40.75700, 15.08667, 2.0215e-002,98.06332,50.00000,0.0000e+000,20.00000,-1.3543e-002,1.22590
 40.75900, 15.09167, 2.0031e-002,98.06319,50.00000,0.0000e+000,20.00000,-1.4119e-002,1.22590
 40.77000, 15.09667, 2.0215e-002,98.06306,50.00000,0.0000e+000,20.00000,-1.4650e-002,1.22588
 40.78100, 15.10167, 2.0008e-002,98.06293,50.00000,0.0000e+000,20.00000,-1.5147e-002,1.22587
 40.75500, 15.10667, 2.0054e-002,98.06281,50.00000,0.0000e+000,20.00000,-1.5617e-002,1.22590
 40.77800, 15.11167, 2.0192e-002,98.06268,50.00000,0.0000e+000,20.00000,-1.6068e-002,1.22587
 40.78200, 15.11667, 2.0146e-002,98.06256,50.00000,0.0000e+000,20.00000,-1.6505e-002,1.22586
 40.77200, 15.12167, 1.9893e-002,98.06244,50.00000,0.0000e+000,20.00000,-1.6936e-002,1.22588
 40.77300, 15.12667, 2.0077e-002,98.06232,50.00000,0.0000e+000,20.00000,-1.7367e-002,1.22588
