#FILE:                       ,B50S50DC1; 14-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,17/01/2025 3:24:00 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,B50S50DC1;17-1-2025                
#SAMPLE MASS /mg:            ,53.6                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 38.97700, 15.95667, 3.9445e-002,95.72402,50.00000,0.0000e+000,20.00000,    -0.17718,1.22835
 38.99000, 15.96167, 3.9446e-002,95.72303,50.00000,0.0000e+000,20.00000,    -0.17715,1.22834
 38.99400, 15.96667, 3.9457e-002,95.72204,50.00000,0.0000e+000,20.00000,    -0.17713,1.22833
 38.99600, 15.97167, 3.9411e-002,95.72105,50.00000,0.0000e+000,20.00000,    -0.17710,1.22833
 38.98700, 15.97667, 3.9387e-002,95.72006,50.00000,0.0000e+000,20.00000,    -0.17708,1.22834
 38.99200, 15.98167, 3.9365e-002,95.71907,50.00000,0.0000e+000,20.00000,    -0.17706,1.22833
 38.98000, 15.98667, 3.9318e-002,95.71808,50.00000,0.0000e+000,20.00000,    -0.17704,1.22835
 38.99600, 15.99167, 3.9307e-002,95.71709,50.00000,0.0000e+000,20.00000,    -0.17702,1.22833
 39.00000, 15.99667, 3.9226e-002,95.71610,50.00000,0.0000e+000,20.00000,    -0.17700,1.22832
 38.99000, 16.00167, 3.9063e-002,95.71511,50.00000,0.0000e+000,20.00000,    -0.17698,1.22834
 38.99600, 16.00667, 3.9110e-002,95.71413,50.00000,0.0000e+000,20.00000,    -0.17696,1.22833
 39.00200, 16.01167, 3.9064e-002,95.71315,50.00000,0.0000e+000,20.00000,    -0.17694,1.22832
 38.99100, 16.01667, 3.8982e-002,95.71216,50.00000,0.0000e+000,20.00000,    -0.17692,1.22833
 39.00600, 16.02167, 3.9017e-002,95.71118,50.00000,0.0000e+000,20.00000,    -0.17689,1.22831
 38.99400, 16.02667, 3.8994e-002,95.71020,50.00000,0.0000e+000,20.00000,    -0.17687,1.22833
 38.99100, 16.03167, 3.8970e-002,95.70923,50.00000,0.0000e+000,20.00000,    -0.17684,1.22833
 39.00500, 16.03667, 3.8913e-002,95.70825,50.00000,0.0000e+000,20.00000,    -0.17682,1.22831
 38.98700, 16.04167, 3.8808e-002,95.70728,50.00000,0.0000e+000,20.00000,    -0.17679,1.22834
 38.98400, 16.04667, 3.8901e-002,95.70631,50.00000,0.0000e+000,20.00000,    -0.17676,1.22834
 38.99000, 16.05167, 3.8959e-002,95.70534,50.00000,0.0000e+000,20.00000,    -0.17673,1.22834
