#FILE:                       ,B50S50DC7; 23-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,23/01/2025 5:17:44 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,B50S50DC7                          
#SAMPLE MASS /mg:            ,43.4                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 38.24000, 15.64917, 1.3842e-002,97.99954,50.00000,0.0000e+000,20.00000,-6.9406e-002,1.22937
 38.24900, 15.65417, 1.3813e-002,97.99908,50.00000,0.0000e+000,20.00000,-6.9308e-002,1.22936
 38.25600, 15.65917, 1.3799e-002,97.99862,50.00000,0.0000e+000,20.00000,-6.9220e-002,1.22935
 38.24600, 15.66417, 1.3899e-002,97.99816,50.00000,0.0000e+000,20.00000,-6.9139e-002,1.22936
 38.24100, 15.66917, 1.3699e-002,97.99770,50.00000,0.0000e+000,20.00000,-6.9066e-002,1.22937
 38.26500, 15.67417, 1.3685e-002,97.99724,50.00000,0.0000e+000,20.00000,-6.9000e-002,1.22934
 38.26600, 15.67917, 1.3871e-002,97.99677,50.00000,0.0000e+000,20.00000,-6.8940e-002,1.22933
 38.25700, 15.68417, 1.3728e-002,97.99631,50.00000,0.0000e+000,20.00000,-6.8886e-002,1.22935
 38.26000, 15.68917, 1.4114e-002,97.99584,50.00000,0.0000e+000,20.00000,-6.8835e-002,1.22934
 38.27000, 15.69417, 1.3814e-002,97.99537,50.00000,0.0000e+000,20.00000,-6.8789e-002,1.22933
 38.25600, 15.69917, 1.3985e-002,97.99490,50.00000,0.0000e+000,20.00000,-6.8746e-002,1.22935
 38.25200, 15.70417, 1.3899e-002,97.99442,50.00000,0.0000e+000,20.00000,-6.8705e-002,1.22935
 38.25200, 15.70917, 1.4014e-002,97.99395,50.00000,0.0000e+000,20.00000,-6.8667e-002,1.22935
 38.26100, 15.71417, 1.3899e-002,97.99348,50.00000,0.0000e+000,20.00000,-6.8629e-002,1.22934
