#FILE:                       ,CEM_III_D28; 16-1-2025.ngb-ds3     
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,16/01/2025 8:58:57 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,CEMIIID28;16-1-2025                
#SAMPLE MASS /mg:            ,44.4                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.88700, 15.55250, 5.0132e-002,97.28553,50.00000,0.0000e+000,20.00000,    -0.15846,1.22572
 40.90700, 15.55750, 5.0063e-002,97.28472,50.00000,0.0000e+000,20.00000,    -0.15843,1.22569
 40.90200, 15.56250, 5.0049e-002,97.28392,50.00000,0.0000e+000,20.00000,    -0.15839,1.22570
 40.89100, 15.56750, 5.0104e-002,97.28311,50.00000,0.0000e+000,20.00000,    -0.15836,1.22571
 40.91200, 15.57250, 5.0063e-002,97.28230,50.00000,0.0000e+000,20.00000,    -0.15832,1.22568
 40.91700, 15.57750, 5.0106e-002,97.28149,50.00000,0.0000e+000,20.00000,    -0.15828,1.22568
 40.91200, 15.58250, 5.0091e-002,97.28067,50.00000,0.0000e+000,20.00000,    -0.15823,1.22568
 40.91600, 15.58750, 5.0133e-002,97.27986,50.00000,0.0000e+000,20.00000,    -0.15819,1.22568
 40.90200, 15.59250, 5.0147e-002,97.27905,50.00000,0.0000e+000,20.00000,    -0.15815,1.22570
 40.91300, 15.59750, 5.0147e-002,97.27823,50.00000,0.0000e+000,20.00000,    -0.15810,1.22568
 40.91600, 15.60250, 5.0204e-002,97.27741,50.00000,0.0000e+000,20.00000,    -0.15806,1.22568
 40.90900, 15.60750, 5.0161e-002,97.27659,50.00000,0.0000e+000,20.00000,    -0.15801,1.22569
 40.90900, 15.61250, 5.0119e-002,97.27578,50.00000,0.0000e+000,20.00000,    -0.15797,1.22569
 40.91300, 15.61750, 5.0175e-002,97.27496,50.00000,0.0000e+000,20.00000,    -0.15793,1.22568
 40.90000, 15.62250, 5.0189e-002,97.27413,50.00000,0.0000e+000,20.00000,    -0.15789,1.22570
 40.90700, 15.62750, 5.0175e-002,97.27331,50.00000,0.0000e+000,20.00000,    -0.15785,1.22569
 40.91700, 15.63250, 5.0148e-002,97.27249,50.00000,0.0000e+000,20.00000,    -0.15782,1.22568
 40.90700, 15.63750, 5.0147e-002,97.27166,50.00000,0.0000e+000,20.00000,    -0.15779,1.22569
 40.91400, 15.64250, 5.0274e-002,97.27084,50.00000,0.0000e+000,20.00000,    -0.15776,1.22568
 40.92200, 15.64750, 5.0260e-002,97.27001,50.00000,0.0000e+000,20.00000,    -0.15773,1.22567
 40.91700, 15.65250, 5.0274e-002,97.26918,50.00000,0.0000e+000,20.00000,    -0.15771,1.22568
 40.91300, 15.65750, 5.0288e-002,97.26836,50.00000,0.0000e+000,20.00000,    -0.15769,1.22568
 40.91300, 15.66250, 5.0330e-002,97.26753,50.00000,0.0000e+000,20.00000,    -0.15767,1.22568
 40.92300, 15.66750, 5.0358e-002,97.26670,50.00000,0.0000e+000,20.00000,    -0.15766,1.22567
 40.92000, 15.67250, 5.0302e-002,97.26586,50.00000,0.0000e+000,20.00000,    -0.15765,1.22567
 40.93000, 15.67750, 5.0260e-002,97.26503,50.00000,0.0000e+000,20.00000,    -0.15764,1.22566
 40.93000, 15.68250, 5.0246e-002,97.26420,50.00000,0.0000e+000,20.00000,    -0.15764,1.22566
 40.92300, 15.68750, 5.0274e-002,97.26337,50.00000,0.0000e+000,20.00000,    -0.15763,1.22567
 40.92300, 15.69250, 5.0246e-002,97.26253,50.00000,0.0000e+000,20.00000,    -0.15764,1.22567
 40.92000, 15.69750, 5.0260e-002,97.26170,50.00000,0.0000e+000,20.00000,    -0.15764,1.22567
 40.94100, 15.70250, 5.0303e-002,97.26086,50.00000,0.0000e+000,20.00000,    -0.15765,1.22564
 40.91300, 15.70750, 5.0400e-002,97.26002,50.00000,0.0000e+000,20.00000,    -0.15766,1.22568
