#FILE:                       ,CEM_III_DC14; 30-1-2025.ngb-ds3    
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,CEMENT PASTE                       
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,1/02/2025 2:57:00 PM               
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,CEM_III_DC14                       
#SAMPLE MASS /mg:            ,38                                 
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 53.87300, 18.47500,-6.5477e-002,93.62441,50.00000,0.0000e+000,20.00000,-5.8716e-002,1.20783
 53.87600, 18.48000,-6.5693e-002,93.62417,50.00000,0.0000e+000,20.00000,-5.8331e-002,1.20782
 53.87600, 18.48500,-6.5510e-002,93.62394,50.00000,0.0000e+000,20.00000,-5.7947e-002,1.20782
 53.89700, 18.49000,-6.5645e-002,93.62370,50.00000,0.0000e+000,20.00000,-5.7562e-002,1.20780
 53.87400, 18.49500,-6.5577e-002,93.62347,50.00000,0.0000e+000,20.00000,-5.7177e-002,1.20783
 53.89500, 18.50000,-6.5578e-002,93.62323,50.00000,0.0000e+000,20.00000,-5.6791e-002,1.20780
 53.89100, 18.50500,-6.5561e-002,93.62300,50.00000,0.0000e+000,20.00000,-5.6406e-002,1.20780
 53.88400, 18.51000,-6.5611e-002,93.62277,50.00000,0.0000e+000,20.00000,-5.6021e-002,1.20781
 53.88300, 18.51500,-6.5511e-002,93.62255,50.00000,0.0000e+000,20.00000,-5.5636e-002,1.20781
 53.88900, 18.52000,-6.5611e-002,93.62232,50.00000,0.0000e+000,20.00000,-5.5250e-002,1.20781
 53.89000, 18.52500,-6.6027e-002,93.62209,50.00000,0.0000e+000,20.00000,-5.4865e-002,1.20780
 53.89300, 18.53000,-6.5794e-002,93.62187,50.00000,0.0000e+000,20.00000,-5.4480e-002,1.20780
 53.90400, 18.53500,-6.5728e-002,93.62165,50.00000,0.0000e+000,20.00000,-5.4096e-002,1.20779
 53.88800, 18.54000,-6.5910e-002,93.62143,50.00000,0.0000e+000,20.00000,-5.3711e-002,1.20781
 53.88500, 18.54500,-6.6043e-002,93.62121,50.00000,0.0000e+000,20.00000,-5.3327e-002,1.20781
 53.88900, 18.55000,-6.5777e-002,93.62099,50.00000,0.0000e+000,20.00000,-5.2943e-002,1.20781
 53.89400, 18.55500,-6.5894e-002,93.62078,50.00000,0.0000e+000,20.00000,-5.2560e-002,1.20780
 53.89700, 18.56000,-6.6144e-002,93.62056,50.00000,0.0000e+000,20.00000,-5.2177e-002,1.20780
 53.88100, 18.56500,-6.6259e-002,93.62035,50.00000,0.0000e+000,20.00000,-5.1794e-002,1.20782
 53.89200, 18.57000,-6.6276e-002,93.62014,50.00000,0.0000e+000,20.00000,-5.1412e-002,1.20780
 53.88800, 18.57500,-6.6425e-002,93.61993,50.00000,0.0000e+000,20.00000,-5.1031e-002,1.20781
 53.88800, 18.58000,-6.6259e-002,93.61973,50.00000,0.0000e+000,20.00000,-5.0649e-002,1.20781
 53.88000, 18.58500,-6.6308e-002,93.61952,50.00000,0.0000e+000,20.00000,-5.0269e-002,1.20782
 53.90400, 18.59000,-6.6377e-002,93.61932,50.00000,0.0000e+000,20.00000,-4.9889e-002,1.20779
 53.89100, 18.59500,-6.6392e-002,93.61912,50.00000,0.0000e+000,20.00000,-4.9509e-002,1.20780
 53.88900, 18.60000,-6.6259e-002,93.61892,50.00000,0.0000e+000,20.00000,-4.9131e-002,1.20781
 53.90400, 18.60500,-6.6377e-002,93.61872,50.00000,0.0000e+000,20.00000,-4.8752e-002,1.20779
 53.89900, 18.61000,-6.6343e-002,93.61853,50.00000,0.0000e+000,20.00000,-4.8375e-002,1.20779
 53.89200, 18.61500,-6.6559e-002,93.61834,50.00000,0.0000e+000,20.00000,-4.7997e-002,1.20780
 53.89800, 18.62000,-6.6310e-002,93.61815,50.00000,0.0000e+000,20.00000,-4.7621e-002,1.20779
 53.89400, 18.62500,-6.6592e-002,93.61796,50.00000,0.0000e+000,20.00000,-4.7245e-002,1.20780
 53.89700, 18.63000,-6.6493e-002,93.61777,50.00000,0.0000e+000,20.00000,-4.6870e-002,1.20780
 53.89400, 18.63500,-6.6393e-002,93.61759,50.00000,0.0000e+000,20.00000,-4.6495e-002,1.20780
 53.89400, 18.64000,-6.6476e-002,93.61741,50.00000,0.0000e+000,20.00000,-4.6121e-002,1.20780
 53.89500, 18.64500,-6.6625e-002,93.61724,50.00000,0.0000e+000,20.00000,-4.5747e-002,1.20780
 53.90900, 18.65000,-6.6577e-002,93.61706,50.00000,0.0000e+000,20.00000,-4.5374e-002,1.20778
 53.90100, 18.65500,-6.6526e-002,93.61689,50.00000,0.0000e+000,20.00000,-4.5002e-002,1.20779
 53.90600, 18.66000,-6.6643e-002,93.61672,50.00000,0.0000e+000,20.00000,-4.4629e-002,1.20778
 53.89800, 18.66500,-6.6476e-002,93.61656,50.00000,0.0000e+000,20.00000,-4.4258e-002,1.20779
 53.91500, 18.67000,-6.6560e-002,93.61639,50.00000,0.0000e+000,20.00000,-4.3887e-002,1.20777
 53.91300, 18.67500,-6.6643e-002,93.61624,50.00000,0.0000e+000,20.00000,-4.3516e-002,1.20777
 53.90500, 18.68000,-6.6809e-002,93.61608,50.00000,0.0000e+000,20.00000,-4.3145e-002,1.20778
 53.91100, 18.68500,-6.6876e-002,93.61593,50.00000,0.0000e+000,20.00000,-4.2775e-002,1.20778
 53.90900, 18.69000,-6.6610e-002,93.61578,50.00000,0.0000e+000,20.00000,-4.2405e-002,1.20778
 53.92200, 18.69500,-6.6744e-002,93.61563,50.00000,0.0000e+000,20.00000,-4.2036e-002,1.20776
 53.92600, 18.70000,-6.7027e-002,93.61549,50.00000,0.0000e+000,20.00000,-4.1667e-002,1.20776
 53.92200, 18.70500,-6.6810e-002,93.61536,50.00000,0.0000e+000,20.00000,-4.1298e-002,1.20776
 53.93300, 18.71000,-6.7077e-002,93.61522,50.00000,0.0000e+000,20.00000,-4.0929e-002,1.20775
 53.93100, 18.71500,-6.6512e-002,93.61509,50.00000,0.0000e+000,20.00000,-4.0560e-002,1.20775
 53.95500, 18.72000,-6.6497e-002,93.61497,50.00000,0.0000e+000,20.00000,-4.0191e-002,1.20772
 53.95100, 18.72500,-6.6563e-002,93.61485,50.00000,0.0000e+000,20.00000,-3.9823e-002,1.20772
 53.95800, 18.73000,-6.6530e-002,93.61473,50.00000,0.0000e+000,20.00000,-3.9454e-002,1.20771
 53.96500, 18.73500,-6.6747e-002,93.61462,50.00000,0.0000e+000,20.00000,-3.9086e-002,1.20770
 53.94100, 18.74000,-6.6762e-002,93.61451,50.00000,0.0000e+000,20.00000,-3.8717e-002,1.20773
 53.95400, 18.74500,-6.6896e-002,93.61440,50.00000,0.0000e+000,20.00000,-3.8349e-002,1.20772
 53.96100, 18.75000,-6.6863e-002,93.61430,50.00000,0.0000e+000,20.00000,-3.7980e-002,1.20771
 53.94100, 18.75500,-6.6529e-002,93.61421,50.00000,0.0000e+000,20.00000,-3.7611e-002,1.20773
 53.96900, 18.76000,-6.6731e-002,93.61412,50.00000,0.0000e+000,20.00000,-3.7242e-002,1.20770
 53.97000, 18.76500,-6.6648e-002,93.61403,50.00000,0.0000e+000,20.00000,-3.6873e-002,1.20769
 53.96900, 18.77000,-6.6498e-002,93.61395,50.00000,0.0000e+000,20.00000,-3.6503e-002,1.20770
 53.97200, 18.77500,-6.6698e-002,93.61388,50.00000,0.0000e+000,20.00000,-3.6133e-002,1.20769
 53.96900, 18.78000,-6.6681e-002,93.61380,50.00000,0.0000e+000,20.00000,-3.5763e-002,1.20770
 53.97900, 18.78500,-6.6815e-002,93.61374,50.00000,0.0000e+000,20.00000,-3.5393e-002,1.20768
 53.98600, 18.79000,-6.6616e-002,93.61368,50.00000,0.0000e+000,20.00000,-3.5023e-002,1.20767
 53.99400, 18.79500,-6.6716e-002,93.61362,50.00000,0.0000e+000,20.00000,-3.4652e-002,1.20766
 54.00100, 18.80000,-6.6550e-002,93.61357,50.00000,0.0000e+000,20.00000,-3.4281e-002,1.20765
 54.01700, 18.80500,-6.6851e-002,93.61352,50.00000,0.0000e+000,20.00000,-3.3909e-002,1.20763
 54.00100, 18.81000,-6.6783e-002,93.61348,50.00000,0.0000e+000,20.00000,-3.3537e-002,1.20765
 53.99600, 18.81500,-6.6949e-002,93.61345,50.00000,0.0000e+000,20.00000,-3.3165e-002,1.20766
 54.01100, 18.82000,-6.6834e-002,93.61341,50.00000,0.0000e+000,20.00000,-3.2792e-002,1.20764
 54.00800, 18.82500,-6.6717e-002,93.61339,50.00000,0.0000e+000,20.00000,-3.2419e-002,1.20764
 53.99400, 18.83000,-6.6566e-002,93.61337,50.00000,0.0000e+000,20.00000,-3.2046e-002,1.20766
 54.03400, 18.83500,-6.6553e-002,93.61335,50.00000,0.0000e+000,20.00000,-3.1672e-002,1.20761
 54.02600, 18.84000,-6.6319e-002,93.61334,50.00000,0.0000e+000,20.00000,-3.1298e-002,1.20762
 54.03600, 18.84500,-6.6919e-002,93.61333,50.00000,0.0000e+000,20.00000,-3.0923e-002,1.20760
 54.02600, 18.85000,-6.6669e-002,93.61333,50.00000,0.0000e+000,20.00000,-3.0548e-002,1.20762
 54.04200, 18.85500,-6.6770e-002,93.61334,50.00000,0.0000e+000,20.00000,-3.0173e-002,1.20760
 54.03700, 18.86000,-6.6669e-002,93.61334,50.00000,0.0000e+000,20.00000,-2.9797e-002,1.20760
 54.04000, 18.86500,-6.6520e-002,93.61336,50.00000,0.0000e+000,20.00000,-2.9421e-002,1.20760
 54.05000, 18.87000,-6.6737e-002,93.61337,50.00000,0.0000e+000,20.00000,-2.9045e-002,1.20758
 54.06100, 18.87500,-6.6688e-002,93.61340,50.00000,0.0000e+000,20.00000,-2.8668e-002,1.20757
 54.05800, 18.88000,-6.6671e-002,93.61342,50.00000,0.0000e+000,20.00000,-2.8292e-002,1.20757
 54.06300, 18.88500,-6.6622e-002,93.61345,50.00000,0.0000e+000,20.00000,-2.7914e-002,1.20757
 54.06600, 18.89000,-6.6605e-002,93.61349,50.00000,0.0000e+000,20.00000,-2.7537e-002,1.20756
 54.07400, 18.89500,-6.6656e-002,93.61353,50.00000,0.0000e+000,20.00000,-2.7160e-002,1.20755
 54.08600, 18.90000,-6.6623e-002,93.61357,50.00000,0.0000e+000,20.00000,-2.6782e-002,1.20754
 54.07600, 18.90500,-6.6573e-002,93.61362,50.00000,0.0000e+000,20.00000,-2.6404e-002,1.20755
 54.08100, 18.91000,-6.6457e-002,93.61367,50.00000,0.0000e+000,20.00000,-2.6026e-002,1.20754
 54.09000, 18.91500,-6.6457e-002,93.61373,50.00000,0.0000e+000,20.00000,-2.5648e-002,1.20753
 54.10300, 18.92000,-6.6408e-002,93.61378,50.00000,0.0000e+000,20.00000,-2.5270e-002,1.20751
