#FILE:                       ,CEM_III_DC28; 14-2-2025.ngb-ds3    
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,OPC PASTE                          
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,14/02/2025 5:34:26 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,CEM_III_DC28                       
#SAMPLE MASS /mg:            ,35.2                               
#MATERIAL:                   ,CEMENT PASTE                       
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.23300, 15.04000, 2.5445e-002,99.02236,50.00000,0.0000e+000,20.00000,-7.3749e-002,1.22662
 40.23900, 15.04500, 2.5180e-002,99.02201,50.00000,0.0000e+000,20.00000,-7.1921e-002,1.22661
 40.25200, 15.05000, 2.5410e-002,99.02168,50.00000,0.0000e+000,20.00000,-7.0324e-002,1.22659
 40.24300, 15.05500, 2.5180e-002,99.02136,50.00000,0.0000e+000,20.00000,-6.8904e-002,1.22661
 40.24500, 15.06000, 2.5357e-002,99.02105,50.00000,0.0000e+000,20.00000,-6.7633e-002,1.22660
 40.26100, 15.06500, 2.5499e-002,99.02074,50.00000,0.0000e+000,20.00000,-6.6486e-002,1.22658
 40.25200, 15.07000, 2.5428e-002,99.02044,50.00000,0.0000e+000,20.00000,-6.5443e-002,1.22659
 40.24500, 15.07500, 2.5268e-002,99.02014,50.00000,0.0000e+000,20.00000,-6.4489e-002,1.22660
 40.26300, 15.08000, 2.5428e-002,99.01985,50.00000,0.0000e+000,20.00000,-6.3613e-002,1.22658
 40.25600, 15.08500, 2.5092e-002,99.01956,50.00000,0.0000e+000,20.00000,-6.2808e-002,1.22659
 40.26200, 15.09000, 2.5234e-002,99.01927,50.00000,0.0000e+000,20.00000,-6.2069e-002,1.22658
 40.25900, 15.09500, 2.5463e-002,99.01899,50.00000,0.0000e+000,20.00000,-6.1387e-002,1.22659
