#FILE:                       ,CEM_III_DC7; 23-1-2025.ngb-ds3     
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,24/01/2025 4:44:28 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,CEM_III_DC7                        
#SAMPLE MASS /mg:            ,37.6                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 39.63500, 15.01667, 5.6635e-002,97.41956,50.00000,0.0000e+000,20.00000,    -0.19411,1.22745
 39.64400, 15.02167, 5.6537e-002,97.41868,50.00000,0.0000e+000,20.00000,    -0.18734,1.22743
 39.64300, 15.02667, 5.6520e-002,97.41781,50.00000,0.0000e+000,20.00000,    -0.18231,1.22743
 39.64100, 15.03167, 5.6636e-002,97.41695,50.00000,0.0000e+000,20.00000,    -0.17810,1.22744
 39.64000, 15.03667, 5.6586e-002,97.41610,50.00000,0.0000e+000,20.00000,    -0.17440,1.22744
 39.63900, 15.04167, 5.6702e-002,97.41526,50.00000,0.0000e+000,20.00000,    -0.17110,1.22744
 39.64700, 15.04667, 5.6653e-002,97.41443,50.00000,0.0000e+000,20.00000,    -0.16815,1.22743
 39.65500, 15.05167, 5.6653e-002,97.41362,50.00000,0.0000e+000,20.00000,    -0.16551,1.22742
 39.66000, 15.05667, 5.6687e-002,97.41283,50.00000,0.0000e+000,20.00000,    -0.16314,1.22741
 39.63800, 15.06167, 5.6718e-002,97.41205,50.00000,0.0000e+000,20.00000,    -0.16099,1.22744
 39.66000, 15.06667, 5.6786e-002,97.41128,50.00000,0.0000e+000,20.00000,    -0.15905,1.22741
 39.65900, 15.07167, 5.6786e-002,97.41052,50.00000,0.0000e+000,20.00000,    -0.15729,1.22741
