#FILE:                       ,CEM_I_D28; 16-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,geoplolymer paste                  
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,16/01/2025 5:36:43 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,CEMID28;16-1-2025                  
#SAMPLE MASS /mg:            ,39                                 
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 43.27700, 17.96500,-3.1030e-002,95.05114,50.00000,0.0000e+000,20.00000,-9.4777e-002,1.22242
 43.28200, 17.97000,-3.1126e-002,95.05060,50.00000,0.0000e+000,20.00000,-9.4438e-002,1.22242
 43.29500, 17.97500,-3.1047e-002,95.05007,50.00000,0.0000e+000,20.00000,-9.4097e-002,1.22240
 43.29300, 17.98000,-3.1127e-002,95.04954,50.00000,0.0000e+000,20.00000,-9.3756e-002,1.22240
 43.30200, 17.98500,-3.1127e-002,95.04903,50.00000,0.0000e+000,20.00000,-9.3414e-002,1.22239
 43.29000, 17.99000,-3.1415e-002,95.04852,50.00000,0.0000e+000,20.00000,-9.3071e-002,1.22241
 43.29200, 17.99500,-3.1255e-002,95.04802,50.00000,0.0000e+000,20.00000,-9.2727e-002,1.22240
 43.28700, 18.00000,-3.1574e-002,95.04753,50.00000,0.0000e+000,20.00000,-9.2382e-002,1.22241
 43.29200, 18.00500,-3.1687e-002,95.04704,50.00000,0.0000e+000,20.00000,-9.2036e-002,1.22240
 43.27700, 18.01000,-3.1590e-002,95.04656,50.00000,0.0000e+000,20.00000,-9.1690e-002,1.22242
 43.30000, 18.01500,-3.1767e-002,95.04609,50.00000,0.0000e+000,20.00000,-9.1343e-002,1.22239
 43.28400, 18.02000,-3.1670e-002,95.04563,50.00000,0.0000e+000,20.00000,-9.0995e-002,1.22241
 43.28300, 18.02500,-3.1494e-002,95.04517,50.00000,0.0000e+000,20.00000,-9.0646e-002,1.22242
 43.29000, 18.03000,-3.1559e-002,95.04472,50.00000,0.0000e+000,20.00000,-9.0297e-002,1.22241
 43.30500, 18.03500,-3.1703e-002,95.04428,50.00000,0.0000e+000,20.00000,-8.9947e-002,1.22239
 43.29700, 18.04000,-3.1623e-002,95.04384,50.00000,0.0000e+000,20.00000,-8.9596e-002,1.22240
