#FILE:                       ,CEM_I_DC28; 14-2-2025.ngb-ds3      
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,OPC PASTE                          
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,14/02/2025 2:30:12 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,CEM_I_DC28                         
#SAMPLE MASS /mg:            ,42                                 
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.84300, 15.59250, 2.4111e-002,98.37660,50.00000,0.0000e+000,20.00000,-8.2298e-002,1.22578
 40.85100, 15.59750, 2.4022e-002,98.37614,50.00000,0.0000e+000,20.00000,-8.2237e-002,1.22577
 40.85700, 15.60250, 2.4008e-002,98.37568,50.00000,0.0000e+000,20.00000,-8.2173e-002,1.22576
 40.85000, 15.60750, 2.4052e-002,98.37522,50.00000,0.0000e+000,20.00000,-8.2109e-002,1.22577
 40.86000, 15.61250, 2.4319e-002,98.37477,50.00000,0.0000e+000,20.00000,-8.2043e-002,1.22576
 40.86500, 15.61750, 2.4186e-002,98.37431,50.00000,0.0000e+000,20.00000,-8.1977e-002,1.22575
 40.86500, 15.62250, 2.3993e-002,98.37385,50.00000,0.0000e+000,20.00000,-8.1911e-002,1.22575
 40.87500, 15.62750, 2.4171e-002,98.37339,50.00000,0.0000e+000,20.00000,-8.1846e-002,1.22574
 40.87000, 15.63250, 2.3964e-002,98.37294,50.00000,0.0000e+000,20.00000,-8.1780e-002,1.22574
 40.87800, 15.63750, 2.4334e-002,98.37248,50.00000,0.0000e+000,20.00000,-8.1716e-002,1.22573
 40.86600, 15.64250, 2.3904e-002,98.37203,50.00000,0.0000e+000,20.00000,-8.1652e-002,1.22575
 40.85200, 15.64750, 2.3933e-002,98.37157,50.00000,0.0000e+000,20.00000,-8.1589e-002,1.22577
 40.86600, 15.65250, 2.4186e-002,98.37112,50.00000,0.0000e+000,20.00000,-8.1526e-002,1.22575
 40.87500, 15.65750, 2.4201e-002,98.37067,50.00000,0.0000e+000,20.00000,-8.1465e-002,1.22574
 40.87400, 15.66250, 2.4112e-002,98.37021,50.00000,0.0000e+000,20.00000,-8.1405e-002,1.22574
 40.86300, 15.66750, 2.3978e-002,98.36976,50.00000,0.0000e+000,20.00000,-8.1345e-002,1.22575
 40.87800, 15.67250, 2.4082e-002,98.36931,50.00000,0.0000e+000,20.00000,-8.1287e-002,1.22573
 40.88400, 15.67750, 2.4142e-002,98.36886,50.00000,0.0000e+000,20.00000,-8.1230e-002,1.22572
 40.88100, 15.68250, 2.4245e-002,98.36841,50.00000,0.0000e+000,20.00000,-8.1173e-002,1.22573
 40.87200, 15.68750, 2.3934e-002,98.36796,50.00000,0.0000e+000,20.00000,-8.1118e-002,1.22574
 40.89500, 15.69250, 2.4083e-002,98.36751,50.00000,0.0000e+000,20.00000,-8.1064e-002,1.22571
 40.89600, 15.69750, 2.4024e-002,98.36706,50.00000,0.0000e+000,20.00000,-8.1011e-002,1.22571
 40.88400, 15.70250, 2.4023e-002,98.36661,50.00000,0.0000e+000,20.00000,-8.0959e-002,1.22572
 40.88500, 15.70750, 2.3875e-002,98.36617,50.00000,0.0000e+000,20.00000,-8.0909e-002,1.22572
 40.88400, 15.71250, 2.4112e-002,98.36572,50.00000,0.0000e+000,20.00000,-8.0860e-002,1.22572
 40.89200, 15.71750, 2.4186e-002,98.36527,50.00000,0.0000e+000,20.00000,-8.0813e-002,1.22571
 40.88900, 15.72250, 2.4097e-002,98.36483,50.00000,0.0000e+000,20.00000,-8.0768e-002,1.22572
 40.89100, 15.72750, 2.4112e-002,98.36438,50.00000,0.0000e+000,20.00000,-8.0726e-002,1.22571
 40.89100, 15.73250, 2.4157e-002,98.36394,50.00000,0.0000e+000,20.00000,-8.0686e-002,1.22571
 40.90000, 15.73750, 2.4142e-002,98.36349,50.00000,0.0000e+000,20.00000,-8.0648e-002,1.22570
 40.90700, 15.74250, 2.4068e-002,98.36304,50.00000,0.0000e+000,20.00000,-8.0614e-002,1.22569
 40.87600, 15.74750, 2.4097e-002,98.36260,50.00000,0.0000e+000,20.00000,-8.0582e-002,1.22573
 40.89200, 15.75250, 2.4068e-002,98.36215,50.00000,0.0000e+000,20.00000,-8.0553e-002,1.22571
 40.87800, 15.75750, 2.4097e-002,98.36171,50.00000,0.0000e+000,20.00000,-8.0528e-002,1.22573
 40.88900, 15.76250, 2.4157e-002,98.36126,50.00000,0.0000e+000,20.00000,-8.0505e-002,1.22572
 40.87900, 15.76750, 2.4245e-002,98.36081,50.00000,0.0000e+000,20.00000,-8.0486e-002,1.22573
