#FILE:                       ,MgO5%DC1; 17-1-2025.ngb-ds3        
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,18/01/2025 11:15:56 AM             
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,MgO5%DC1;18-1-2025                 
#SAMPLE MASS /mg:            ,30.6                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 44.98200, 18.14833,-3.0817e-002,91.81255,50.00000,0.0000e+000,20.00000,    -0.15625,1.22007
 45.00800, 18.15333,-3.0899e-002,91.81173,50.00000,0.0000e+000,20.00000,    -0.15579,1.22004
 45.01300, 18.15833,-3.0940e-002,91.81092,50.00000,0.0000e+000,20.00000,    -0.15532,1.22003
 45.00700, 18.16333,-3.1104e-002,91.81010,50.00000,0.0000e+000,20.00000,    -0.15486,1.22004
 45.01200, 18.16833,-3.1145e-002,91.80930,50.00000,0.0000e+000,20.00000,    -0.15439,1.22003
 45.00900, 18.17333,-3.1267e-002,91.80850,50.00000,0.0000e+000,20.00000,    -0.15393,1.22004
 45.02100, 18.17833,-3.1308e-002,91.80770,50.00000,0.0000e+000,20.00000,    -0.15347,1.22002
 45.01100, 18.18333,-3.1247e-002,91.80691,50.00000,0.0000e+000,20.00000,    -0.15300,1.22003
 45.01800, 18.18833,-3.1390e-002,91.80612,50.00000,0.0000e+000,20.00000,    -0.15254,1.22002
 45.01900, 18.19333,-3.1533e-002,91.80534,50.00000,0.0000e+000,20.00000,    -0.15208,1.22002
 45.02100, 18.19833,-3.1492e-002,91.80456,50.00000,0.0000e+000,20.00000,    -0.15161,1.22002
 45.01500, 18.20333,-3.1553e-002,91.80379,50.00000,0.0000e+000,20.00000,    -0.15115,1.22003
 45.00900, 18.20833,-3.1553e-002,91.80303,50.00000,0.0000e+000,20.00000,    -0.15069,1.22004
