#FILE:                       ,MgO5%DC7; 23-1-2025.ngb-ds3        
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLMER PASTE                    
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,25/01/2025 10:21:53 AM             
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,MgODC7                             
#SAMPLE MASS /mg:            ,41.2                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.91400, 15.01500, 4.1246e-002,98.19007,50.00000,0.0000e+000,20.00000,    -0.12823,1.22568
 40.93000, 15.02000, 4.1020e-002,98.18956,50.00000,0.0000e+000,20.00000,    -0.11870,1.22566
 40.92700, 15.02500, 4.0884e-002,98.18906,50.00000,0.0000e+000,20.00000,    -0.11344,1.22566
 40.92800, 15.03000, 4.1156e-002,98.18856,50.00000,0.0000e+000,20.00000,    -0.11053,1.22566
 40.92800, 15.03500, 4.1156e-002,98.18806,50.00000,0.0000e+000,20.00000,    -0.10887,1.22566
 40.92700, 15.04000, 4.1246e-002,98.18757,50.00000,0.0000e+000,20.00000,    -0.10787,1.22566
 40.93400, 15.04500, 4.1080e-002,98.18707,50.00000,0.0000e+000,20.00000,    -0.10723,1.22565
 40.93400, 15.05000, 4.1065e-002,98.18657,50.00000,0.0000e+000,20.00000,    -0.10679,1.22565
 40.93500, 15.05500, 4.1080e-002,98.18607,50.00000,0.0000e+000,20.00000,    -0.10648,1.22565
 40.92100, 15.06000, 4.1004e-002,98.18556,50.00000,0.0000e+000,20.00000,    -0.10623,1.22567
 40.92400, 15.06500, 4.1065e-002,98.18505,50.00000,0.0000e+000,20.00000,    -0.10605,1.22567
 40.93600, 15.07000, 4.1096e-002,98.18453,50.00000,0.0000e+000,20.00000,    -0.10589,1.22565
 40.92100, 15.07500, 4.1004e-002,98.18402,50.00000,0.0000e+000,20.00000,    -0.10576,1.22567
