#FILE:                       ,OPC7%D28; 13-1-2025.ngb-ds3        
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,Geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,14/01/2025 8:14:23 AM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC7%D28;13-1-2025                 
#SAMPLE MASS /mg:            ,45                                 
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.63100, 15.05250, 7.0717e-002,97.39436,50.00000,0.0000e+000,20.00000,    -0.14961,1.22607
 40.63900, 15.05750, 7.0952e-002,97.39351,50.00000,0.0000e+000,20.00000,    -0.15241,1.22606
 40.64700, 15.06250, 7.0884e-002,97.39264,50.00000,0.0000e+000,20.00000,    -0.15478,1.22605
 40.65800, 15.06750, 7.0913e-002,97.39177,50.00000,0.0000e+000,20.00000,    -0.15682,1.22603
 40.66500, 15.07250, 7.0982e-002,97.39089,50.00000,0.0000e+000,20.00000,    -0.15861,1.22603
 40.65300, 15.07750, 7.0926e-002,97.39001,50.00000,0.0000e+000,20.00000,    -0.16019,1.22604
 40.66200, 15.08250, 7.0761e-002,97.38913,50.00000,0.0000e+000,20.00000,    -0.16160,1.22603
 40.67500, 15.08750, 7.0886e-002,97.38824,50.00000,0.0000e+000,20.00000,    -0.16287,1.22601
 40.65000, 15.09250, 7.0912e-002,97.38735,50.00000,0.0000e+000,20.00000,    -0.16403,1.22605
 40.64400, 15.09750, 7.0953e-002,97.38646,50.00000,0.0000e+000,20.00000,    -0.16509,1.22605
 40.64700, 15.10250, 7.0898e-002,97.38557,50.00000,0.0000e+000,20.00000,    -0.16607,1.22605
 40.66300, 15.10750, 7.1024e-002,97.38467,50.00000,0.0000e+000,20.00000,    -0.16698,1.22603
 40.65800, 15.11250, 7.0719e-002,97.38377,50.00000,0.0000e+000,20.00000,    -0.16782,1.22603
 40.65200, 15.11750, 7.0884e-002,97.38288,50.00000,0.0000e+000,20.00000,    -0.16862,1.22604
 40.65000, 15.12250, 7.0884e-002,97.38198,50.00000,0.0000e+000,20.00000,    -0.16936,1.22605
 40.65800, 15.12750, 7.0816e-002,97.38107,50.00000,0.0000e+000,20.00000,    -0.17006,1.22603
 40.66900, 15.13250, 7.0886e-002,97.38017,50.00000,0.0000e+000,20.00000,    -0.17073,1.22602
 40.66200, 15.13750, 7.0954e-002,97.37927,50.00000,0.0000e+000,20.00000,    -0.17137,1.22603
 40.68100, 15.14250, 7.0942e-002,97.37836,50.00000,0.0000e+000,20.00000,    -0.17198,1.22600
 40.66100, 15.14750, 7.0871e-002,97.37745,50.00000,0.0000e+000,20.00000,    -0.17256,1.22603
 40.65900, 15.15250, 7.1023e-002,97.37654,50.00000,0.0000e+000,20.00000,    -0.17312,1.22603
 40.66800, 15.15750, 7.0734e-002,97.37563,50.00000,0.0000e+000,20.00000,    -0.17367,1.22602
 40.65200, 15.16250, 7.0788e-002,97.37472,50.00000,0.0000e+000,20.00000,    -0.17418,1.22604
 40.64800, 15.16750, 7.0773e-002,97.37381,50.00000,0.0000e+000,20.00000,    -0.17468,1.22605
 40.64600, 15.17250, 7.0663e-002,97.37289,50.00000,0.0000e+000,20.00000,    -0.17516,1.22605
 40.64500, 15.17750, 7.1077e-002,97.37198,50.00000,0.0000e+000,20.00000,    -0.17562,1.22605
 40.64500, 15.18250, 7.0884e-002,97.37106,50.00000,0.0000e+000,20.00000,    -0.17606,1.22605
 40.65500, 15.18750, 7.0940e-002,97.37014,50.00000,0.0000e+000,20.00000,    -0.17648,1.22604
 40.65000, 15.19250, 7.0829e-002,97.36922,50.00000,0.0000e+000,20.00000,    -0.17687,1.22605
 40.64600, 15.19750, 7.0925e-002,97.36830,50.00000,0.0000e+000,20.00000,    -0.17725,1.22605
 40.66100, 15.20250, 7.0885e-002,97.36738,50.00000,0.0000e+000,20.00000,    -0.17760,1.22603
 40.66100, 15.20750, 7.0857e-002,97.36646,50.00000,0.0000e+000,20.00000,    -0.17792,1.22603
