#FILE:                       ,OPC7%DC14; 30-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,30/01/2025 8:58:29 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC7%DC14                          
#SAMPLE MASS /mg:            ,32.6                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 50.70000, 18.36500,-7.0912e-002,95.64622,50.00000,0.0000e+000,20.00000,-5.5590e-002,1.21220
 50.71500, 18.37000,-7.0933e-002,95.64605,50.00000,0.0000e+000,20.00000,-5.5154e-002,1.21218
 50.72100, 18.37500,-7.1146e-002,95.64589,50.00000,0.0000e+000,20.00000,-5.4715e-002,1.21217
 50.72300, 18.38000,-7.1281e-002,95.64572,50.00000,0.0000e+000,20.00000,-5.4276e-002,1.21216
 50.73200, 18.38500,-7.1050e-002,95.64557,50.00000,0.0000e+000,20.00000,-5.3835e-002,1.21215
 50.70300, 18.39000,-7.1299e-002,95.64541,50.00000,0.0000e+000,20.00000,-5.3392e-002,1.21219
 50.72000, 18.39500,-7.1454e-002,95.64526,50.00000,0.0000e+000,20.00000,-5.2949e-002,1.21217
 50.70400, 18.40000,-7.1453e-002,95.64511,50.00000,0.0000e+000,20.00000,-5.2504e-002,1.21219
 50.72100, 18.40500,-7.1435e-002,95.64496,50.00000,0.0000e+000,20.00000,-5.2058e-002,1.21217
 50.73500, 18.41000,-7.1610e-002,95.64482,50.00000,0.0000e+000,20.00000,-5.1611e-002,1.21215
 50.73400, 18.41500,-7.1591e-002,95.64468,50.00000,0.0000e+000,20.00000,-5.1163e-002,1.21215
 50.71800, 18.42000,-7.1879e-002,95.64454,50.00000,0.0000e+000,20.00000,-5.0714e-002,1.21217
 50.71000, 18.42500,-7.1647e-002,95.64440,50.00000,0.0000e+000,20.00000,-5.0263e-002,1.21218
 50.71400, 18.43000,-7.1705e-002,95.64427,50.00000,0.0000e+000,20.00000,-4.9812e-002,1.21218
 50.73400, 18.43500,-7.1900e-002,95.64413,50.00000,0.0000e+000,20.00000,-4.9360e-002,1.21215
 50.72700, 18.44000,-7.1899e-002,95.64400,50.00000,0.0000e+000,20.00000,-4.8907e-002,1.21216
 50.74100, 18.44500,-7.1919e-002,95.64387,50.00000,0.0000e+000,20.00000,-4.8454e-002,1.21214
 50.74100, 18.45000,-7.1900e-002,95.64375,50.00000,0.0000e+000,20.00000,-4.7999e-002,1.21214
 50.73500, 18.45500,-7.2035e-002,95.64362,50.00000,0.0000e+000,20.00000,-4.7544e-002,1.21215
 50.74100, 18.46000,-7.2093e-002,95.64350,50.00000,0.0000e+000,20.00000,-4.7089e-002,1.21214
 50.74300, 18.46500,-7.2074e-002,95.64338,50.00000,0.0000e+000,20.00000,-4.6633e-002,1.21214
