#FILE:                       ,OPC7%DC1; 14-1-2025.ngb-ds3        
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,17/01/2025 6:09:10 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC7%DC1;17-1-2025                 
#SAMPLE MASS /mg:            ,43.2                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 46.48600, 18.18500, 3.5234e-003,91.92733,50.00000,0.0000e+000,20.00000,    -0.19783,1.21800
 46.50600, 18.19000, 3.2915e-003,91.92646,50.00000,0.0000e+000,20.00000,    -0.19751,1.21797
 46.51000, 18.19500, 3.2480e-003,91.92559,50.00000,0.0000e+000,20.00000,    -0.19718,1.21797
 46.52500, 18.20000, 3.1321e-003,91.92472,50.00000,0.0000e+000,20.00000,    -0.19686,1.21795
 46.50300, 18.20500, 3.2625e-003,91.92386,50.00000,0.0000e+000,20.00000,    -0.19653,1.21798
 46.52400, 18.21000, 3.1756e-003,91.92300,50.00000,0.0000e+000,20.00000,    -0.19621,1.21795
 46.52000, 18.21500, 3.1176e-003,91.92214,50.00000,0.0000e+000,20.00000,    -0.19588,1.21795
 46.52000, 18.22000, 3.1321e-003,91.92128,50.00000,0.0000e+000,20.00000,    -0.19555,1.21795
 46.51800, 18.22500, 2.9870e-003,91.92043,50.00000,0.0000e+000,20.00000,    -0.19523,1.21796
 46.52000, 18.23000, 2.9000e-003,91.91958,50.00000,0.0000e+000,20.00000,    -0.19490,1.21795
 46.52400, 18.23500, 3.1466e-003,91.91873,50.00000,0.0000e+000,20.00000,    -0.19457,1.21795
 46.52400, 18.24000, 3.2916e-003,91.91789,50.00000,0.0000e+000,20.00000,    -0.19425,1.21795
 46.52100, 18.24500, 2.9001e-003,91.91704,50.00000,0.0000e+000,20.00000,    -0.19392,1.21795
 46.52800, 18.25000, 2.8711e-003,91.91620,50.00000,0.0000e+000,20.00000,    -0.19359,1.21794
 46.51700, 18.25500, 2.9000e-003,91.91536,50.00000,0.0000e+000,20.00000,    -0.19326,1.21796
 46.52100, 18.26000, 2.8276e-003,91.91453,50.00000,0.0000e+000,20.00000,    -0.19294,1.21795
 46.53400, 18.26500, 2.8131e-003,91.91369,50.00000,0.0000e+000,20.00000,    -0.19261,1.21794
 46.53800, 18.27000, 2.6826e-003,91.91286,50.00000,0.0000e+000,20.00000,    -0.19228,1.21793
 46.52700, 18.27500, 2.5521e-003,91.91203,50.00000,0.0000e+000,20.00000,    -0.19195,1.21794
 46.52700, 18.28000, 2.5956e-003,91.91120,50.00000,0.0000e+000,20.00000,    -0.19163,1.21794
 46.53400, 18.28500, 2.4796e-003,91.91038,50.00000,0.0000e+000,20.00000,    -0.19130,1.21794
 46.52900, 18.29000, 2.4071e-003,91.90955,50.00000,0.0000e+000,20.00000,    -0.19097,1.21794
 46.54200, 18.29500, 2.2911e-003,91.90873,50.00000,0.0000e+000,20.00000,    -0.19064,1.21792
 46.54300, 18.30000, 2.3491e-003,91.90791,50.00000,0.0000e+000,20.00000,    -0.19032,1.21792
 46.54100, 18.30500, 2.2476e-003,91.90709,50.00000,0.0000e+000,20.00000,    -0.18999,1.21793
 46.54100, 18.31000, 2.1896e-003,91.90628,50.00000,0.0000e+000,20.00000,    -0.18967,1.21793
 46.54000, 18.31500, 2.3491e-003,91.90546,50.00000,0.0000e+000,20.00000,    -0.18934,1.21793
 46.54700, 18.32000, 2.4216e-003,91.90465,50.00000,0.0000e+000,20.00000,    -0.18902,1.21792
 46.56400, 18.32500, 2.1606e-003,91.90384,50.00000,0.0000e+000,20.00000,    -0.18869,1.21789
 46.57400, 18.33000, 2.2042e-003,91.90303,50.00000,0.0000e+000,20.00000,    -0.18837,1.21788
 46.57000, 18.33500, 2.1462e-003,91.90223,50.00000,0.0000e+000,20.00000,    -0.18804,1.21789
 46.56500, 18.34000, 2.0446e-003,91.90142,50.00000,0.0000e+000,20.00000,    -0.18772,1.21789
 46.56800, 18.34500, 2.1752e-003,91.90062,50.00000,0.0000e+000,20.00000,    -0.18740,1.21789
 46.56400, 18.35000, 2.0156e-003,91.89982,50.00000,0.0000e+000,20.00000,    -0.18708,1.21789
 46.56100, 18.35500, 1.8851e-003,91.89902,50.00000,0.0000e+000,20.00000,    -0.18676,1.21790
 46.57300, 18.36000, 1.8996e-003,91.89822,50.00000,0.0000e+000,20.00000,    -0.18644,1.21788
 46.58000, 18.36500, 1.8562e-003,91.89742,50.00000,0.0000e+000,20.00000,    -0.18612,1.21787
 46.57700, 18.37000, 1.8562e-003,91.89663,50.00000,0.0000e+000,20.00000,    -0.18581,1.21788
 46.58500, 18.37500, 1.9287e-003,91.89583,50.00000,0.0000e+000,20.00000,    -0.18549,1.21786
 46.57100, 18.38000, 1.8126e-003,91.89504,50.00000,0.0000e+000,20.00000,    -0.18517,1.21788
 46.58200, 18.38500, 1.7692e-003,91.89425,50.00000,0.0000e+000,20.00000,    -0.18486,1.21787
 46.59500, 18.39000, 1.6387e-003,91.89346,50.00000,0.0000e+000,20.00000,    -0.18454,1.21785
 46.59700, 18.39500, 1.6822e-003,91.89267,50.00000,0.0000e+000,20.00000,    -0.18423,1.21785
 46.59500, 18.40000, 1.6677e-003,91.89188,50.00000,0.0000e+000,20.00000,    -0.18392,1.21785
 46.60200, 18.40500, 1.6677e-003,91.89110,50.00000,0.0000e+000,20.00000,    -0.18361,1.21784
 46.60800, 18.41000, 1.6242e-003,91.89031,50.00000,0.0000e+000,20.00000,    -0.18330,1.21783
 46.61100, 18.41500, 1.6532e-003,91.88953,50.00000,0.0000e+000,20.00000,    -0.18299,1.21783
 46.62400, 18.42000, 1.6387e-003,91.88874,50.00000,0.0000e+000,20.00000,    -0.18268,1.21781
 46.61900, 18.42500, 1.6097e-003,91.88796,50.00000,0.0000e+000,20.00000,    -0.18237,1.21782
