#FILE:                       ,OPC7%DC28; 13-2-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,13/02/2025 1:33:34 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC7%DC28                          
#SAMPLE MASS /mg:            ,37.2                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 49.67800, 18.26167,-6.7243e-002,97.56718,50.00000,0.0000e+000,20.00000,-4.4027e-002,1.21360
 49.69900, 18.26667,-6.7413e-002,97.56700,50.00000,0.0000e+000,20.00000,-4.3682e-002,1.21357
 49.70200, 18.27167,-6.7363e-002,97.56684,50.00000,0.0000e+000,20.00000,-4.3337e-002,1.21357
 49.69600, 18.27667,-6.7396e-002,97.56668,50.00000,0.0000e+000,20.00000,-4.2989e-002,1.21358
 49.69300, 18.28167,-6.7751e-002,97.56653,50.00000,0.0000e+000,20.00000,-4.2640e-002,1.21358
 49.69800, 18.28667,-6.7514e-002,97.56639,50.00000,0.0000e+000,20.00000,-4.2289e-002,1.21358
 49.70600, 18.29167,-6.7600e-002,97.56625,50.00000,0.0000e+000,20.00000,-4.1936e-002,1.21357
 49.69200, 18.29667,-6.7683e-002,97.56612,50.00000,0.0000e+000,20.00000,-4.1582e-002,1.21358
 49.69900, 18.30167,-6.7633e-002,97.56599,50.00000,0.0000e+000,20.00000,-4.1226e-002,1.21357
 49.69600, 18.30667,-6.7633e-002,97.56588,50.00000,0.0000e+000,20.00000,-4.0869e-002,1.21358
 49.69500, 18.31167,-6.7683e-002,97.56577,50.00000,0.0000e+000,20.00000,-4.0509e-002,1.21358
 49.69100, 18.31667,-6.8055e-002,97.56567,50.00000,0.0000e+000,20.00000,-4.0148e-002,1.21359
 49.69600, 18.32167,-6.7819e-002,97.56557,50.00000,0.0000e+000,20.00000,-3.9785e-002,1.21358
 49.69200, 18.32667,-6.7768e-002,97.56548,50.00000,0.0000e+000,20.00000,-3.9420e-002,1.21358
 49.69500, 18.33167,-6.7886e-002,97.56540,50.00000,0.0000e+000,20.00000,-3.9054e-002,1.21358
 49.68300, 18.33667,-6.7936e-002,97.56533,50.00000,0.0000e+000,20.00000,-3.8686e-002,1.21360
 49.69700, 18.34167,-6.8157e-002,97.56526,50.00000,0.0000e+000,20.00000,-3.8316e-002,1.21358
 49.69500, 18.34667,-6.7971e-002,97.56520,50.00000,0.0000e+000,20.00000,-3.7944e-002,1.21358
 49.71400, 18.35167,-6.8057e-002,97.56515,50.00000,0.0000e+000,20.00000,-3.7571e-002,1.21355
 49.70000, 18.35667,-6.8224e-002,97.56510,50.00000,0.0000e+000,20.00000,-3.7196e-002,1.21357
 49.70000, 18.36167,-6.8393e-002,97.56506,50.00000,0.0000e+000,20.00000,-3.6819e-002,1.21357
 49.69600, 18.36667,-6.8292e-002,97.56503,50.00000,0.0000e+000,20.00000,-3.6441e-002,1.21358
 49.69900, 18.37167,-6.8174e-002,97.56500,50.00000,0.0000e+000,20.00000,-3.6061e-002,1.21357
 49.69700, 18.37667,-6.8461e-002,97.56498,50.00000,0.0000e+000,20.00000,-3.5680e-002,1.21358
 49.70600, 18.38167,-6.8428e-002,97.56496,50.00000,0.0000e+000,20.00000,-3.5297e-002,1.21357
 49.70500, 18.38667,-6.8580e-002,97.56495,50.00000,0.0000e+000,20.00000,-3.4913e-002,1.21357
 49.69000, 18.39167,-6.8579e-002,97.56495,50.00000,0.0000e+000,20.00000,-3.4529e-002,1.21359
 49.69200, 18.39667,-6.8410e-002,97.56495,50.00000,0.0000e+000,20.00000,-3.4144e-002,1.21358
 49.69900, 18.40167,-6.8731e-002,97.56496,50.00000,0.0000e+000,20.00000,-3.3761e-002,1.21357
 49.70800, 18.40667,-6.8732e-002,97.56497,50.00000,0.0000e+000,20.00000,-3.3379e-002,1.21356
 49.69900, 18.41167,-6.8579e-002,97.56498,50.00000,0.0000e+000,20.00000,-3.3000e-002,1.21357
 49.70300, 18.41667,-6.8681e-002,97.56501,50.00000,0.0000e+000,20.00000,-3.2624e-002,1.21357
 49.71100, 18.42167,-6.9104e-002,97.56503,50.00000,0.0000e+000,20.00000,-3.2252e-002,1.21356
