#FILE:                       ,OPC7%DC7; 23-1-2025.ngb-ds3        
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,23/01/2025 8:10:38 PM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC7%DC7                           
#SAMPLE MASS /mg:            ,30.2                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 38.54300, 15.69000, 1.2046e-002,97.97379,50.00000,0.0000e+000,20.00000,-5.1918e-002,1.22895
 38.56100, 15.69500, 1.2026e-002,97.97338,50.00000,0.0000e+000,20.00000,-5.1947e-002,1.22893
 38.55600, 15.70000, 1.1985e-002,97.97298,50.00000,0.0000e+000,20.00000,-5.1972e-002,1.22893
 38.55600, 15.70500, 1.1964e-002,97.97258,50.00000,0.0000e+000,20.00000,-5.1994e-002,1.22893
 38.54300, 15.71000, 1.2026e-002,97.97218,50.00000,0.0000e+000,20.00000,-5.2014e-002,1.22895
 38.56800, 15.71500, 1.1923e-002,97.97178,50.00000,0.0000e+000,20.00000,-5.2032e-002,1.22892
 38.55900, 15.72000, 1.1779e-002,97.97139,50.00000,0.0000e+000,20.00000,-5.2049e-002,1.22893
 38.56300, 15.72500, 1.1779e-002,97.97100,50.00000,0.0000e+000,20.00000,-5.2065e-002,1.22892
 38.56200, 15.73000, 1.1635e-002,97.97062,50.00000,0.0000e+000,20.00000,-5.2079e-002,1.22893
 38.55800, 15.73500, 1.1758e-002,97.97023,50.00000,0.0000e+000,20.00000,-5.2093e-002,1.22893
 38.55900, 15.74000, 1.1635e-002,97.96986,50.00000,0.0000e+000,20.00000,-5.2105e-002,1.22893
 38.56300, 15.74500, 1.1779e-002,97.96949,50.00000,0.0000e+000,20.00000,-5.2116e-002,1.22892
 38.56300, 15.75000, 1.1759e-002,97.96912,50.00000,0.0000e+000,20.00000,-5.2124e-002,1.22892
 38.56600, 15.75500, 1.1512e-002,97.96876,50.00000,0.0000e+000,20.00000,-5.2129e-002,1.22892
 38.56600, 15.76000, 1.1512e-002,97.96840,50.00000,0.0000e+000,20.00000,-5.2131e-002,1.22892
 38.55600, 15.76500, 1.1409e-002,97.96805,50.00000,0.0000e+000,20.00000,-5.2128e-002,1.22893
 38.56000, 15.77000, 1.1327e-002,97.96771,50.00000,0.0000e+000,20.00000,-5.2119e-002,1.22893
 38.56500, 15.77500, 1.1532e-002,97.96737,50.00000,0.0000e+000,20.00000,-5.2105e-002,1.22892
 38.57500, 15.78000, 1.1306e-002,97.96704,50.00000,0.0000e+000,20.00000,-5.2083e-002,1.22891
 38.55900, 15.78500, 1.1183e-002,97.96671,50.00000,0.0000e+000,20.00000,-5.2053e-002,1.22893
 38.56500, 15.79000, 1.1245e-002,97.96639,50.00000,0.0000e+000,20.00000,-5.2013e-002,1.22892
 38.57400, 15.79500, 1.1080e-002,97.96608,50.00000,0.0000e+000,20.00000,-5.1964e-002,1.22891
 38.56900, 15.80000, 1.1245e-002,97.96578,50.00000,0.0000e+000,20.00000,-5.1905e-002,1.22892
 38.57200, 15.80500, 1.1450e-002,97.96548,50.00000,0.0000e+000,20.00000,-5.1834e-002,1.22891
 38.57100, 15.81000, 1.1142e-002,97.96519,50.00000,0.0000e+000,20.00000,-5.1751e-002,1.22891
 38.56800, 15.81500, 1.1101e-002,97.96490,50.00000,0.0000e+000,20.00000,-5.1655e-002,1.22892
 38.58200, 15.82000, 1.1142e-002,97.96463,50.00000,0.0000e+000,20.00000,-5.1547e-002,1.22890
 38.58700, 15.82500, 1.1060e-002,97.96436,50.00000,0.0000e+000,20.00000,-5.1426e-002,1.22889
 38.57800, 15.83000, 1.0978e-002,97.96410,50.00000,0.0000e+000,20.00000,-5.1292e-002,1.22890
 38.57800, 15.83500, 1.1060e-002,97.96384,50.00000,0.0000e+000,20.00000,-5.1145e-002,1.22890
 38.57200, 15.84000, 1.0751e-002,97.96359,50.00000,0.0000e+000,20.00000,-5.0985e-002,1.22891
 38.59500, 15.84500, 1.0875e-002,97.96335,50.00000,0.0000e+000,20.00000,-5.0814e-002,1.22888
 38.57700, 15.85000, 1.0793e-002,97.96311,50.00000,0.0000e+000,20.00000,-5.0630e-002,1.22890
 38.59000, 15.85500, 1.0690e-002,97.96289,50.00000,0.0000e+000,20.00000,-5.0436e-002,1.22889
 38.58200, 15.86000, 1.0690e-002,97.96266,50.00000,0.0000e+000,20.00000,-5.0232e-002,1.22890
 38.59000, 15.86500, 1.0567e-002,97.96245,50.00000,0.0000e+000,20.00000,-5.0019e-002,1.22889
 38.57500, 15.87000, 1.0669e-002,97.96224,50.00000,0.0000e+000,20.00000,-4.9798e-002,1.22891
 38.59700, 15.87500, 1.0690e-002,97.96203,50.00000,0.0000e+000,20.00000,-4.9571e-002,1.22888
 38.58500, 15.88000, 1.0690e-002,97.96183,50.00000,0.0000e+000,20.00000,-4.9339e-002,1.22889
 38.58500, 15.88500, 1.0608e-002,97.96164,50.00000,0.0000e+000,20.00000,-4.9103e-002,1.22889
 38.59300, 15.89000, 1.0669e-002,97.96145,50.00000,0.0000e+000,20.00000,-4.8865e-002,1.22888
 38.60100, 15.89500, 1.0608e-002,97.96127,50.00000,0.0000e+000,20.00000,-4.8627e-002,1.22887
 38.59900, 15.90000, 1.0526e-002,97.96109,50.00000,0.0000e+000,20.00000,-4.8389e-002,1.22887
 38.60600, 15.90500, 1.0443e-002,97.96091,50.00000,0.0000e+000,20.00000,-4.8155e-002,1.22886
 38.58700, 15.91000, 1.0340e-002,97.96074,50.00000,0.0000e+000,20.00000,-4.7925e-002,1.22889
 38.60700, 15.91500, 1.0156e-002,97.96057,50.00000,0.0000e+000,20.00000,-4.7701e-002,1.22886
 38.59100, 15.92000, 1.0320e-002,97.96041,50.00000,0.0000e+000,20.00000,-4.7484e-002,1.22889
