#FILE:                       ,OPC9%DC7; 23-1-2025.ngb-ds3        
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,GEOPOLYMER PASTE                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,24/01/2025 6:51:37 AM              
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,OPC9%DC7                           
#SAMPLE MASS /mg:            ,25.2                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.56000, 15.00583, 5.5505e-002,97.13889,50.00000,0.0000e+000,20.00000,     0.18255,1.22617
 40.56900, 15.01083, 5.5679e-002,97.14060,50.00000,0.0000e+000,20.00000,     0.13421,1.22616
 40.56200, 15.01583, 5.5481e-002,97.14114,50.00000,0.0000e+000,20.00000, 8.5861e-002,1.22617
 40.56600, 15.02083, 5.5234e-002,97.14114,50.00000,0.0000e+000,20.00000, 4.4479e-002,1.22616
 40.56200, 15.02583, 5.5209e-002,97.14102,50.00000,0.0000e+000,20.00000, 1.8558e-002,1.22617
 40.56900, 15.03083, 5.5407e-002,97.14084,50.00000,0.0000e+000,20.00000, 1.6759e-003,1.22616
 40.57800, 15.03583, 5.5581e-002,97.14060,50.00000,0.0000e+000,20.00000,-1.0073e-002,1.22615
 40.56900, 15.04083, 5.5555e-002,97.14033,50.00000,0.0000e+000,20.00000,-1.8911e-002,1.22616
 40.58200, 15.04583, 5.5606e-002,97.14005,50.00000,0.0000e+000,20.00000,-2.5931e-002,1.22614
 40.57200, 15.05083, 5.5556e-002,97.13976,50.00000,0.0000e+000,20.00000,-3.1676e-002,1.22615
 40.57200, 15.05583, 5.5432e-002,97.13945,50.00000,0.0000e+000,20.00000,-3.6482e-002,1.22615
 40.57900, 15.06083, 5.5358e-002,97.13914,50.00000,0.0000e+000,20.00000,-4.0587e-002,1.22614
