#FILE:                       ,R30B70D28; 13-1-2025.ngb-ds3       ,,,,,,
#FORMAT:                     ,NETZSCH5                           ,,,,,,
#IDENTITY:                   ,Geopolymere paste                  ,,,,,,
#DECIMAL:                    ,POINT                              ,,,,,,
#SEPARATOR:                  ,COMMA                              ,,,,,,
#MTYPE:                      ,DSC                                ,,,,,,
#INSTRUMENT:                 ,Microlab TU Delft                  ,,,,,,
#PROJECT:                    ,                                   ,,,,,,
#DATE/TIME:                  ,13/01/2025 12:57:40 PM             ,,,,,,
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3,,,,,,
#LABORATORY:                 ,TU Delft Micro Lab                 ,,,,,,
#OPERATOR:                   ,Ahmed                              ,,,,,,
#REMARK:                     ,under Argon atmosphere, 10K/min    ,,,,,
#SAMPLE:                     ,R30B70D28;13-1-2025                ,,,,,,
#SAMPLE MASS /mg:            ,55,,,,,,
#MATERIAL:                   ,Geopolymer paste                   ,,,,,,
#REFERENCE:                  ,blank                              ,,,,,,
#REFERENCE MASS /mg:         ,0,,,,,,
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   ,,,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,,,
#CORR. CODE:                 ,20,,,,,,
#EXO:                        ,-1,,,,,,
#RANGE:                      ,40/10.0(K/min)/1000                ,,,,,,
#SEGMENT:                    ,S2/2                               ,,,,,,
,,,,,,,
##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
40.552,15.0075,7.17E-02,97.92364,50,0.00E+00,20,1.22618
40.566,15.0125,7.17E-02,97.92364,50,0.00E+00,20,1.22616
40.566,15.0175,7.15E-02,97.92182,50,0.00E+00,20,1.22616
40.559,15.0225,7.16E-02,97.92182,50,0.00E+00,20,1.22617
40.559,15.0275,7.18E-02,97.91818,50,0.00E+00,20,1.22617
40.559,15.0325,7.17E-02,97.91818,50,0.00E+00,20,1.22617
40.562,15.0375,7.16E-02,97.91636,50,0.00E+00,20,1.22617
40.553,15.0425,7.16E-02,97.91636,50,0.00E+00,20,1.22618
40.552,15.0475,7.16E-02,97.91455,50,0.00E+00,20,1.22618
40.559,15.0525,7.16E-02,97.91455,50,0.00E+00,20,1.22617
40.569,15.0575,7.15E-02,97.91273,50,0.00E+00,20,1.22616
40.575,15.0625,7.16E-02,97.91273,50,0.00E+00,20,1.22615
40.569,15.0675,7.17E-02,97.91273,50,0.00E+00,20,1.22616
40.591,15.0725,7.15E-02,97.91091,50,0.00E+00,20,1.22613
40.575,15.0775,7.16E-02,97.91091,50,0.00E+00,20,1.22615
40.58,15.0825,7.16E-02,97.90909,50,0.00E+00,20,1.22614
40.578,15.0875,7.16E-02,97.90909,50,0.00E+00,20,1.22615
40.577,15.0925,7.15E-02,97.90545,50,0.00E+00,20,1.22615
40.584,15.0975,7.13E-02,97.90545,50,0.00E+00,20,1.22614
40.582,15.1025,7.15E-02,97.90545,50,0.00E+00,20,1.22614
40.598,15.1075,7.14E-02,97.90545,50,0.00E+00,20,1.22612
40.585,15.1125,7.15E-02,97.90545,50,0.00E+00,20,1.22614
40.582,15.1175,7.14E-02,97.90182,50,0.00E+00,20,1.22614
40.597,15.1225,7.15E-02,97.90182,50,0.00E+00,20,1.22612
40.598,15.1275,7.15E-02,97.9,50,0.00E+00,20,1.22612
40.591,15.1325,7.14E-02,97.9,50,0.00E+00,20,1.22613
40.597,15.1375,7.15E-02,97.89818,50,0.00E+00,20,1.22612
40.608,15.1425,7.16E-02,97.89818,50,0.00E+00,20,1.2261
40.604,15.1475,7.15E-02,97.89636,50,0.00E+00,20,1.22611
40.607,15.1525,7.15E-02,97.89636,50,0.00E+00,20,1.22611
40.613,15.1575,7.14E-02,97.89636,50,0.00E+00,20,1.2261
40.619,15.1625,7.14E-02,97.89273,50,0.00E+00,20,1.22609
40.608,15.1675,7.12E-02,97.89273,50,0.00E+00,20,1.2261
40.604,15.1725,7.13E-02,97.89273,50,0.00E+00,20,1.22611
40.607,15.1775,7.15E-02,97.89273,50,0.00E+00,20,1.22611
40.61,15.1825,7.14E-02,97.88909,50,0.00E+00,20,1.2261
40.606,15.1875,7.13E-02,97.88909,50,0.00E+00,20,1.22611
40.613,15.1925,7.12E-02,97.88909,50,0.00E+00,20,1.2261
40.616,15.1975,7.14E-02,97.88727,50,0.00E+00,20,1.22609
40.617,15.2025,7.15E-02,97.88727,50,0.00E+00,20,1.22609
40.626,15.2075,7.13E-02,97.88727,50,0.00E+00,20,1.22608
40.623,15.2125,7.13E-02,97.88545,50,0.00E+00,20,1.22608
40.611,15.2175,7.13E-02,97.88545,50,0.00E+00,20,1.2261
40.607,15.2225,7.13E-02,97.88182,50,0.00E+00,20,1.22611
40.609,15.2275,7.12E-02,97.88182,50,0.00E+00,20,1.2261
40.616,15.2325,7.14E-02,97.88182,50,0.00E+00,20,1.22609
40.613,15.2375,7.14E-02,97.88182,50,0.00E+00,20,1.2261
40.635,15.2425,7.13E-02,97.87818,50,0.00E+00,20,1.22607
40.638,15.2475,7.15E-02,97.87818,50,0.00E+00,20,1.22606
40.623,15.2525,7.13E-02,97.87818,50,0.00E+00,20,1.22608
40.642,15.2575,7.13E-02,97.87818,50,0.00E+00,20,1.22606
40.646,15.2625,7.14E-02,97.87455,50,0.00E+00,20,1.22605
40.643,15.2675,7.13E-02,97.87455,50,0.00E+00,20,1.22606
40.655,15.2725,7.13E-02,97.87455,50,0.00E+00,20,1.22604
40.646,15.2775,7.12E-02,97.87273,50,0.00E+00,20,1.22605
40.657,15.2825,7.13E-02,97.87273,50,0.00E+00,20,1.22604
40.645,15.2875,7.12E-02,97.87273,50,0.00E+00,20,1.22605
40.652,15.2925,7.13E-02,97.87091,50,0.00E+00,20,1.22604
40.646,15.2975,7.13E-02,97.87091,50,0.00E+00,20,1.22605
40.655,15.3025,7.12E-02,97.87091,50,0.00E+00,20,1.22604
40.675,15.3075,7.13E-02,97.86727,50,0.00E+00,20,1.22601
40.659,15.3125,7.13E-02,97.86727,50,0.00E+00,20,1.22603
40.665,15.3175,7.11E-02,97.86727,50,0.00E+00,20,1.22603
40.652,15.3225,7.12E-02,97.86727,50,0.00E+00,20,1.22604
40.652,15.3275,7.13E-02,97.86364,50,0.00E+00,20,1.22604
40.658,15.3325,7.11E-02,97.86364,50,0.00E+00,20,1.22603
40.661,15.3375,7.12E-02,97.86182,50,0.00E+00,20,1.22603
40.669,15.3425,7.13E-02,97.86182,50,0.00E+00,20,1.22602
40.667,15.3475,7.12E-02,97.86182,50,0.00E+00,20,1.22602
40.671,15.3525,7.10E-02,97.86,50,0.00E+00,20,1.22602
40.677,15.3575,7.12E-02,97.86,50,0.00E+00,20,1.22601
40.669,15.3625,7.12E-02,97.86,50,0.00E+00,20,1.22602
40.678,15.3675,7.11E-02,97.85818,50,0.00E+00,20,1.22601
40.672,15.3725,7.13E-02,97.85818,50,0.00E+00,20,1.22602
40.691,15.3775,7.12E-02,97.85455,50,0.00E+00,20,1.22599
40.684,15.3825,7.11E-02,97.85455,50,0.00E+00,20,1.226
40.689,15.3875,7.13E-02,97.85455,50,0.00E+00,20,1.22599
40.679,15.3925,7.12E-02,97.85455,50,0.00E+00,20,1.22601
40.691,15.3975,7.12E-02,97.85455,50,0.00E+00,20,1.22599
40.681,15.4025,7.11E-02,97.85455,50,0.00E+00,20,1.226
40.69,15.4075,7.13E-02,97.85091,50,0.00E+00,20,1.22599
40.688,15.4125,7.10E-02,97.84727,50,0.00E+00,20,1.22599
40.713,15.4175,7.11E-02,97.84727,50,0.00E+00,20,1.22596
40.719,15.4225,7.13E-02,97.84545,50,0.00E+00,20,1.22595
40.698,15.4275,7.10E-02,97.84545,50,0.00E+00,20,1.22598
40.713,15.4325,7.11E-02,97.84545,50,0.00E+00,20,1.22596
40.707,15.4375,7.12E-02,97.84364,50,0.00E+00,20,1.22597
40.7,15.4425,7.12E-02,97.84364,50,0.00E+00,20,1.22598
40.722,15.4475,7.12E-02,97.84182,50,0.00E+00,20,1.22595
40.71,15.4525,7.12E-02,97.84182,50,0.00E+00,20,1.22596
40.693,15.4575,7.12E-02,97.84182,50,0.00E+00,20,1.22599
40.716,15.4625,7.12E-02,97.84,50,0.00E+00,20,1.22595
40.713,15.4675,7.12E-02,97.84,50,0.00E+00,20,1.22596
40.721,15.4725,7.12E-02,97.83818,50,0.00E+00,20,1.22595
40.716,15.4775,7.13E-02,97.83818,50,0.00E+00,20,1.22595
40.726,15.4825,7.12E-02,97.83818,50,0.00E+00,20,1.22594
40.728,15.4875,7.13E-02,97.83455,50,0.00E+00,20,1.22594
40.726,15.4925,7.13E-02,97.83455,50,0.00E+00,20,1.22594
40.737,15.4975,7.15E-02,97.83455,50,0.00E+00,20,1.22593
40.726,15.5025,7.12E-02,97.83455,50,0.00E+00,20,1.22594
40.731,15.5075,7.13E-02,97.83455,50,0.00E+00,20,1.22593
40.732,15.5125,7.12E-02,97.83091,50,0.00E+00,20,1.22593
40.747,15.5175,7.12E-02,97.83091,50,0.00E+00,20,1.22591
40.739,15.5225,7.13E-02,97.82909,50,0.00E+00,20,1.22592
